targetX,cueOri,congr,corrAns,pin_cue,pin_target,block.thisRepN,block.thisTrialN,block.thisN,block.thisIndex,posner_task.thisRepN,posner_task.thisTrialN,posner_task.thisN,posner_task.thisIndex,port_start_block.started,port_start_block.stopped,text_2.started,text_2.stopped,p_port.started,p_port.stopped,text.started,text.stopped,fixation_1.started,fixation_1.stopped,fixation_2.started,fixation_2.stopped,cue.started,cue.stopped,target.started,target.stopped,correct_key_resp.keys,correct_key_resp.corr,correct_key_resp.rt,correct_key_resp.started,correct_key_resp.stopped,early_resp.keys,early_resp.started,early_resp.stopped,trigger_cue.started,trigger_cue.stopped,trigger_target.started,trigger_target.stopped,break_text.started,break_text.stopped,end_port.started,end_port.stopped,early_resp.rt,participant,session,date,expName,psychopyVersion,frameRate,
0.5,180,1,right,2,4,0,0,0,0,0,0,0,5,1.8400000044493936e-05,0.09224919999996928,23.880060200000116,None,3.509999987727497e-05,0.0993081000001439,25.76365059999989,None,26.094467800000075,26.597403499999928,27.31409870000016,None,26.61391109999977,27.29785549999997,27.814476699999886,None,right,1,0.3466734000003271,27.814476699999886,None,None,26.61391109999977,27.79815150000013,0.5122857000001204,0.5956770000002507,1.7130222000000686,1.7959787999998298,,,,,,ashley_1,001,2020_Feb_12_1014,posner,3.1.5,60.007548949615604,
0.5,0,0,right,1,4,0,0,0,0,0,1,1,3,,,,,,,,,28.18344530000013,28.68136400000003,29.39821549999988,None,28.69798159999982,29.38163050000003,29.898402400000123,None,right,1,0.4546448999999484,29.898402400000123,None,None,28.69798159999982,29.881740400000126,0.5100539999998546,0.5933291000001191,1.7104058999998415,1.7936651999998503,,,,,,ashley_1,001,2020_Feb_12_1014,posner,3.1.5,60.007548949615604,
0.5,180,1,right,2,4,0,0,0,0,0,2,2,7,,,,,,,,,30.382495500000005,30.882185500000105,31.59888030000002,None,30.898769800000082,31.5822048,32.09920569999986,30.382495500000005,right,1,0.34192680000023756,32.09920569999986,None,None,30.898769800000082,32.08245029999989,0.5112629000000197,0.5943446000001131,1.7115138999997725,1.7946624000001066,,,,,,ashley_1,001,2020_Feb_12_1014,posner,3.1.5,60.007548949615604,
-0.5,180,0,left,2,3,0,0,0,0,0,3,3,4,,,,,,,,,32.46681209999997,32.96589760000006,33.682966999999735,None,32.98260930000015,33.66641149999987,34.18306870000015,None,left,1,0.3620501999998851,34.18306870000015,None,None,32.98260930000015,34.16637270000001,0.5110368000000562,0.5944718999999168,1.7114995000001727,1.794936300000245,,,,,,ashley_1,001,2020_Feb_12_1014,posner,3.1.5,60.007548949615604,
0.5,180,1,right,2,4,0,0,0,0,0,4,4,6,,,,,,,,,34.56778559999975,35.06674049999992,35.78345669999999,None,35.0832547,35.76689249999981,36.28373599999986,None,right,1,0.3334220000001551,36.28373599999986,None,None,35.0832547,36.26713259999997,0.5107419000000846,0.5940491999999722,1.7111285000000862,1.7946020999997927,,,,,,ashley_1,001,2020_Feb_12_1014,posner,3.1.5,60.007548949615604,
-0.5,0,1,left,1,3,0,0,0,0,0,5,5,0,,,,,,,,,36.634434000000056,37.133958099999745,37.85096470000008,None,37.15069709999989,37.83402560000013,38.35122339999998,None,left,1,0.31389760000001843,38.35122339999998,None,None,37.15069709999989,38.3344333,0.5114975999999842,0.5949067999999897,1.7119532000001527,1.795251300000018,,,,,,ashley_1,001,2020_Feb_12_1014,posner,3.1.5,60.007548949615604,
-0.5,0,1,left,1,3,0,0,0,0,0,6,6,1,,,,,,,,,38.68446159999985,39.184583199999906,39.901451599999746,None,39.20130969999991,39.88473829999975,40.4015758999999,None,left,1,0.3755223999996815,40.4015758999999,None,None,39.20130969999991,40.38491879999992,0.5112452000003032,0.5945673000001079,1.7115614000003916,1.794998900000337,,,,,,ashley_1,001,2020_Feb_12_1014,posner,3.1.5,60.007548949615604,
-0.5,0,1,left,1,3,0,0,0,0,0,7,7,2,,,,,,,,,40.80294090000007,41.30198440000004,42.01872259999982,None,41.31854539999995,42.0022598999999,42.518991500000084,None,left,1,0.3860147999998844,42.518991500000084,None,None,41.31854539999995,42.502430600000025,0.511109800000213,0.5944318000001658,1.7115396000003784,1.7946700000002238,,,,,,ashley_1,001,2020_Feb_12_1014,posner,3.1.5,60.007548949615604,
-0.5,0,1,left,1,3,0,0,0,0,1,0,8,2,,,,,,,,,42.93657189999976,43.43583919999992,44.15269559999979,None,43.45255139999972,44.13609889999998,44.65290330000016,None,left,1,0.4121468999996978,44.65290330000016,None,None,43.45255139999972,44.636534799999936,0.5110723000002508,0.5944770000000972,1.7117484000000331,1.7948983999999655,,,,,,ashley_1,001,2020_Feb_12_1014,posner,3.1.5,60.007548949615604,
0.5,0,0,right,1,4,0,0,0,0,1,1,9,3,,,,,,,,,45.08782829999973,45.586565900000096,46.30324879999989,None,45.60326279999981,46.287085899999965,46.8035918999999,None,right,1,0.32543729999997595,46.8035918999999,None,None,45.60326279999981,46.78719950000004,0.5107110999997531,0.5941124999999374,1.711333199999899,1.7944408999996995,,,,,,ashley_1,001,2020_Feb_12_1014,posner,3.1.5,60.007548949615604,
