targetX,cueOri,congr,corrAns,pin_cue,pin_target,block.thisRepN,block.thisTrialN,block.thisN,block.thisIndex,posner_task.thisRepN,posner_task.thisTrialN,posner_task.thisN,posner_task.thisIndex,port_start_block.started,port_start_block.stopped,text_2.started,text_2.stopped,p_port.started,p_port.stopped,text.started,text.stopped,fixation_1.started,fixation_1.stopped,fixation_2.started,fixation_2.stopped,cue.started,cue.stopped,target.started,target.stopped,correct_key_resp.keys,correct_key_resp.corr,correct_key_resp.started,correct_key_resp.stopped,early_resp.keys,early_resp.started,early_resp.stopped,trigger_cue.started,trigger_cue.stopped,trigger_target.started,trigger_target.stopped,correct_key_resp.rt,break_text.started,break_text.stopped,end_port.started,end_port.stopped,early_resp.rt,participant,session,date,expName,psychopyVersion,frameRate,
-0.5,0,1,left,1,3,0,0,0,0,0,0,0,1,1.7600000319362152e-05,0.09563810000054218,30.37299990000065,None,1.3199999557400588e-05,0.0993888999992123,32.2564768000002,None,32.5889044000005,33.090246200000365,33.806994000000486,None,33.10686870000063,33.7905553999999,34.30725680000069,34.79085050000049,None,0,34.30725680000069,None,None,33.10686870000063,34.29074420000052,0.5114311000006637,0.5946570000005522,1.7119112000000314,1.7951388999999836,,,,,,,ashley_2,001,2020_Feb_12_1028,posner,3.1.5,59.98210134094505,
0.5,180,1,right,2,4,0,0,0,0,0,1,1,5,,,,,,,,,35.040835900000275,35.54112179999993,36.25772710000001,None,35.55752040000061,36.24125110000023,36.75780500000019,None,right,1,36.75780500000019,None,None,35.55752040000061,36.74125559999993,0.5145894999996017,0.5977027999997517,1.7147224999998798,1.7981580999994549,0.44236350000028324,,,,,,ashley_2,001,2020_Feb_12_1028,posner,3.1.5,59.98210134094505,
0.5,180,1,right,2,4,0,0,0,0,0,2,2,6,,,,,,,,,37.22544950000065,37.7250597000002,38.44207259999985,None,37.74158729999999,38.42538719999993,38.942058700000416,None,right,1,38.942058700000416,None,None,37.74158729999999,38.92565680000007,0.5111614999996164,0.5944368000000395,1.7117426000004343,1.7947619999995368,0.37013500000011845,,,,,,ashley_2,001,2020_Feb_12_1028,posner,3.1.5,59.98210134094505,
0.5,180,1,right,2,4,0,0,0,0,0,3,3,7,,,,,,,,,39.3427843999998,39.842299700000694,40.559102400000484,None,39.85881849999987,40.54236200000014,41.05926460000046,None,left,0,41.05926460000046,None,None,39.85881849999987,41.04285590000018,0.5111385000000155,0.5944903999998132,1.711676400000215,1.794829600000412,0.324823899999501,,,,,,ashley_2,001,2020_Feb_12_1028,posner,3.1.5,59.98210134094505,
0.5,0,0,right,1,4,0,0,0,0,0,4,4,3,,,,,,,,,41.4107324000006,41.90946640000038,42.62647840000045,None,41.926264400000036,42.60990500000025,43.12661329999992,None,right,1,43.12661329999992,None,None,41.926264400000036,43.1099662000006,0.5111439000002065,0.5943591000004744,1.7113389000005554,1.7948354000000108,0.4014545999998518,,,,,,ashley_2,001,2020_Feb_12_1028,posner,3.1.5,59.98210134094505,
-0.5,180,0,left,2,3,0,0,0,0,0,5,5,4,,,,,,,,,43.544141899999886,44.04368669999985,44.76064700000006,None,44.060348400000294,44.743833300000006,45.2607109999999,None,left,1,45.2607109999999,None,None,44.060348400000294,45.244033599999966,0.511316899999656,0.5944661999992604,1.7116560999993453,1.794852600000013,0.3953664000000572,,,,,,ashley_2,001,2020_Feb_12_1028,posner,3.1.5,59.98210134094505,
-0.5,0,1,left,1,3,0,0,0,0,0,6,6,2,,,,,,,,,45.679084299999886,46.17749869999989,46.89471020000019,None,46.19450289999986,46.87772490000043,47.394819900000584,None,left,1,47.394819900000584,None,None,46.19450289999986,47.37782960000004,0.5106329999998707,0.594011799999862,1.7109424999998737,1.7943461999993815,0.4133519000006345,,,,,,ashley_2,001,2020_Feb_12_1028,posner,3.1.5,59.98210134094505,
-0.5,0,1,left,1,3,0,0,0,0,0,7,7,0,,,,,,,,,47.82910870000069,48.3282334000005,49.04539470000054,None,48.345080600000074,49.02839540000059,49.54535820000001,None,left,1,49.54535820000001,None,None,48.345080600000074,49.52862450000066,0.5109757999998692,0.5944376999996166,1.7113458000003448,1.7945247999996354,0.35884379999970406,,,,,,ashley_2,001,2020_Feb_12_1028,posner,3.1.5,59.98210134094505,
0.5,180,1,right,2,4,0,0,0,0,1,0,8,6,,,,,,,,,49.92987660000017,50.428795900000296,51.145981600000596,None,50.4457209000002,51.129134499999964,51.64622750000035,None,right,1,51.64622750000035,None,None,50.4457209000002,51.629261699999915,0.511017400000128,0.5946155999999974,1.711494700000003,1.7948630999999295,0.3219076000004861,,,,,,ashley_2,001,2020_Feb_12_1028,posner,3.1.5,59.98210134094505,
-0.5,0,1,left,1,3,0,0,0,0,1,1,9,1,,,,,,,,,51.997188400000596,52.49611210000057,53.21301660000063,None,52.51307750000069,53.19641279999996,53.71331530000043,None,left,1,53.71331530000043,None,None,52.51307750000069,53.69645390000005,0.5109453000004578,0.5944244000002072,1.711271900000611,1.79488610000044,0.3347613999994792,,,,,,ashley_2,001,2020_Feb_12_1028,posner,3.1.5,59.98210134094505,
-0.5,0,1,left,1,3,0,0,0,0,1,2,10,2,,,,,,,,,54.08026980000068,54.58030670000062,55.29691140000068,None,54.5968641999998,55.280326800000694,55.797226100000444,None,left,1,55.797226100000444,None,None,54.5968641999998,55.7804799000005,0.5117756999998164,0.5949829000001046,1.7119342999994842,1.795447100000274,0.3628292999992482,,,,,,ashley_2,001,2020_Feb_12_1028,posner,3.1.5,59.98210134094505,
