targetX,cueOri,congr,corrAns,pin_cue,pin_target,block.thisRepN,block.thisTrialN,block.thisN,block.thisIndex,posner_task.thisRepN,posner_task.thisTrialN,posner_task.thisN,posner_task.thisIndex,port_start_block.started,port_start_block.stopped,text_2.started,text_2.stopped,p_port.started,p_port.stopped,text.started,text.stopped,fixation_1.started,fixation_1.stopped,fixation_2.started,fixation_2.stopped,cue.started,cue.stopped,target.started,target.stopped,correct_key_resp.keys,correct_key_resp.corr,correct_key_resp.rt,correct_key_resp.started,correct_key_resp.stopped,early_resp.keys,early_resp.rt,early_resp.started,early_resp.stopped,trigger_cue.started,trigger_cue.stopped,trigger_target.started,trigger_target.stopped,break_text.started,break_text.stopped,end_port.started,end_port.stopped,participant,session,date,expName,psychopyVersion,frameRate,
0.5,180,1,right,2,4,0,0,0,0,0,0,0,7,1.759999940986745e-05,0.09098989999984042,25.347466399999576,None,1.430000065738568e-05,0.09955530000024737,27.23121110000011,None,27.563549899999998,28.064854000000196,28.781627800000024,None,28.081669999999576,28.765109799999664,29.282007599999815,None,right,1,0.3390246999997544,29.282007599999815,None,right,0.7313553000003594,28.081669999999576,29.265470899999855,0.5110326000003624,0.5940757999997004,1.7113767999999254,1.7945953999997073,,,,,ashley_3,001,2020_Feb_12_1041,posner,3.1.5,60.0030481549177,
-0.5,0,1,left,1,3,0,0,0,0,0,1,1,2,,,,,,,,,29.65055349999966,30.148836299999857,30.865902399999868,None,30.16566520000015,30.849053500000082,31.365931700000147,None,left,1,0.39100950000010926,31.365931700000147,None,None,,30.16566520000015,31.34944110000015,0.5100271000001158,0.5934845000001587,1.7106100999999398,1.7936829999998736,,,,,ashley_3,001,2020_Feb_12_1041,posner,3.1.5,60.0030481549177,
-0.5,180,0,left,2,3,0,0,0,0,0,2,2,4,,,,,,,,,31.783830800000032,32.282900000000154,32.999937300000056,None,32.29956659999971,32.983035299999756,33.50011040000027,None,left,1,0.4409766999997373,33.50011040000027,None,None,,32.29956659999971,33.483297499999935,0.5109922000001461,0.5942437000003338,1.7113649000002624,1.7946068000001105,,,,,ashley_3,001,2020_Feb_12_1041,posner,3.1.5,60.0030481549177,
-0.5,0,1,left,1,3,0,0,0,0,0,3,3,1,,,,,,,,,33.96757929999967,34.46694389999993,35.18371750000006,None,34.483477499999935,35.167070700000295,35.68386310000005,None,left,1,0.337075399999776,35.68386310000005,None,None,,34.483477499999935,35.6671580000002,0.5110343000005741,0.5943357000005562,1.7112337000007756,1.794772300000659,,,,,ashley_3,001,2020_Feb_12_1041,posner,3.1.5,60.0030481549177,
0.5,180,1,right,2,4,0,0,0,0,0,4,4,6,,,,,,,,,36.05149369999981,36.55086779999965,37.26781250000022,None,36.56773700000031,37.251143700000284,37.76804230000016,None,right,1,0.28485170000021753,37.76804230000016,None,None,,36.56773700000031,37.75128750000022,0.511049899999307,0.5943125999992844,1.7114480000000185,1.7954485000000204,,,,,ashley_3,001,2020_Feb_12_1041,posner,3.1.5,60.0030481549177,
-0.5,0,1,left,1,3,0,0,0,0,0,5,5,0,,,,,,,,,38.085432500000024,38.58472849999998,39.3015204000003,None,38.60164950000035,39.28513500000008,39.80180240000027,None,left,1,0.379019299999527,39.80180240000027,None,None,,38.60164950000035,39.785241999999926,0.5109926999994059,0.5944451999994271,1.7114780000001701,1.7949038999995537,,,,,ashley_3,001,2020_Feb_12_1041,posner,3.1.5,60.0030481549177,
0.5,180,1,right,2,4,0,0,0,0,0,6,6,5,,,,,,,,,40.20282179999958,40.70214699999997,41.41916070000025,None,40.718915800000104,41.4022802999998,41.9192893999998,None,right,1,0.309559100000115,41.9192893999998,None,None,,40.718915800000104,41.90234380000038,0.511199999999917,0.5945615999999063,1.711378599999989,1.7949656000000687,,,,,ashley_3,001,2020_Feb_12_1041,posner,3.1.5,60.0030481549177,
0.5,0,0,right,1,4,0,0,0,0,0,7,7,3,,,,,,,,,42.25330899999972,42.75272179999956,43.46989409999969,None,42.769696499999554,43.45296309999958,43.969596199999614,None,right,1,0.3712992000000668,43.969596199999614,None,None,,42.769696499999554,43.953427100000226,0.5111197000005632,0.5947525000001406,1.7118003000005046,1.7946915000002264,,,,,ashley_3,001,2020_Feb_12_1041,posner,3.1.5,60.0030481549177,
0.5,180,1,right,2,4,0,0,0,0,1,0,8,7,,,,,,,,,44.37076160000015,44.87032739999995,45.58702710000034,None,44.886884499999724,45.57044709999991,46.08722140000009,None,right,1,0.37374129999989236,46.08722140000009,None,None,,44.886884499999724,46.070507700000235,0.51133530000061,0.5943355000008523,1.7115089000008084,1.7947964000004504,,,,,ashley_3,001,2020_Feb_12_1041,posner,3.1.5,60.0030481549177,
0.5,180,1,right,2,4,0,0,0,0,1,1,9,5,,,,,,,,,46.48774299999968,46.987280700000156,47.70428840000022,None,47.004140899999584,47.68772209999952,48.20440150000013,None,right,1,0.3044378999993569,48.20440150000013,None,None,,47.004140899999584,48.18778349999957,0.5112583000000086,0.5948853999998391,1.711754199999632,1.7951391999995394,,,,,ashley_3,001,2020_Feb_12_1041,posner,3.1.5,60.0030481549177,
