condition,cueValid,rt
silence,True,0.3065618000000541
silence,True,0.3335767999997188
silence,True,0.2321237999994992
silence,False,0.33459120000043185
silence,True,0.297182199999952
silence,True,0.3090303999997559
silence,True,0.239930199999435
silence,False,0.3100464999997712
silence,True,0.21732220000012606
silence,True,0.2882230000004711
silence,False,0.2844414000001052
silence,True,0.3127936000000773
silence,True,0.24413000000004104
silence,True,0.2981170999992173
silence,False,0.2621171000000686
silence,True,0.31500169999981154
silence,True,0.2830799000003026
silence,True,0.3117545999994036
silence,True,0.26664849999997386
silence,False,0.3436598000007507
silence,False,0.2737582999998267
silence,True,0.22221100000024308
silence,True,0.24490140000034444
silence,False,0.2266368999999031
silence,True,0.25714590000006865
silence,True,0.262510999999904
silence,True,0.25987070000064705
silence,True,0.2890934999995807
silence,True,0.3089577999999165
silence,False,0.2720350999998118
silence,True,0.25265850000050705
silence,True,0.25787200000013394
silence,True,0.2150549999996656
silence,True,0.27037169999948674
silence,True,0.3308508999998594
silence,False,0.3254995000006602
silence,True,0.28807469999992463
silence,True,0.4759127000006629
silence,False,0.3762471000000005
silence,False,0.2086465000002136
silence,True,0.36009699999976874
silence,True,0.2571284999994532
silence,True,0.3101989999995567
silence,True,0.2657083000003695
silence,True,0.26275750000058906
silence,True,0.23596660000021075
silence,True,0.2819696999995358
silence,False,0.2463767999997799
silence,True,0.3325155000002269
silence,True,0.294955200000004
silence,False,0.32249269999920216
silence,True,0.2849749999995765
silence,True,0.2738890000000538
silence,True,0.15840140000000247
silence,True,0.29712409999956435
silence,True,0.26094910000028904
silence,True,0.2580243000002156
silence,False,0.3673232999999527
silence,True,0.2643548000005467
silence,False,0.3416792000007263
silence,False,0.2780221000002712
silence,True,0.26673049999953946
silence,True,0.3201441999999588
silence,True,0.3304990999995425
silence,True,0.22893030000068396
silence,True,0.2597070999991047
silence,True,0.29671439999947324
silence,False,0.22048660000018566
silence,True,0.29103810000015073
silence,True,0.2548560000004727
silence,False,0.300498499999776
silence,True,0.3120898999995916
silence,True,0.2993883999997706
silence,False,0.33503639999980805
silence,True,0.21763609999925396
silence,True,0.4087734000004275
silence,False,0.2317427999996653
silence,True,0.23055029999977705
silence,True,0.3251995999999053
silence,True,0.2319418000006408
silence,True,0.3501664000004894
silence,True,0.24798790000022564
silence,True,0.3500973999998678
silence,False,0.2791012999996383
