targetX,cueOri,congr,corrAns,pin_cue,pin_target,block.thisRepN,block.thisTrialN,block.thisN,block.thisIndex,posner_task.thisRepN,posner_task.thisTrialN,posner_task.thisN,posner_task.thisIndex,port_start_block.started,port_start_block.stopped,text_2.started,text_2.stopped,p_port.started,p_port.stopped,text.started,text.stopped,fixation_1.started,fixation_1.stopped,fixation_2.started,fixation_2.stopped,cue.started,cue.stopped,target.started,target.stopped,correct_key_resp.keys,correct_key_resp.corr,correct_key_resp.started,correct_key_resp.stopped,early_resp.keys,early_resp.started,early_resp.stopped,trigger_cue.started,trigger_cue.stopped,trigger_target.started,trigger_target.stopped,correct_key_resp.rt,break_text.started,break_text.stopped,end_port.started,end_port.stopped,participant,session,date,expName,psychopyVersion,frameRate,
-0.5,0,1,left,1,3,0,0,0,0,0,0,0,0,1.7300000308750896e-05,0.09453759999996691,23.515386600000056,None,1.4199999895936344e-05,0.09948720000011235,25.401150000000143,None,25.74029449999989,26.235424899999998,26.953246399999898,None,26.25244879999991,26.93656460000011,27.454024499999832,27.937886600000184,None,0,27.454024499999832,None,None,26.25244879999991,27.437519500000235,0.5043781000003946,0.5879479000000174,1.7064488000000892,1.789382000000387,,,,,,nat_1,001,2020_Jan_31_1418,posner,3.1.5,59.96339834168466,
-0.5,0,1,left,1,3,0,0,0,0,0,1,1,1,,,,,,,,,28.171281999999792,28.67209180000009,29.3896064999999,None,28.688823800000137,29.373240899999928,29.89052529999981,None,left,1,29.89052529999981,None,None,28.688823800000137,29.87389519999988,0.5147295000001577,0.5983158000003641,1.7165102000003571,1.7999338000004172,0.3164622999997846,,,,,nat_1,001,2020_Jan_31_1418,posner,3.1.5,59.96339834168466,
0.5,180,1,right,2,4,0,0,0,0,0,2,2,5,,,,,,,,,30.224859699999797,30.725239700000202,31.442676399999982,None,30.741727600000104,31.42617509999991,31.943425299999944,None,right,1,31.943425299999944,None,None,30.741727600000104,31.926811799999996,0.5116301999996722,0.5946724999998878,1.713191199999983,1.7963119999999435,0.31148099999973056,,,,,nat_1,001,2020_Jan_31_1418,posner,3.1.5,59.96339834168466,
0.5,180,1,right,2,4,0,0,0,0,0,3,3,6,,,,,,,,,32.27799390000018,32.7779043999999,33.49557340000001,None,32.79446569999982,33.47874249999995,33.9962172999999,None,right,1,33.9962172999999,None,None,32.79446569999982,33.979413699999895,0.5113836999998966,0.594637000000148,1.7128806000000623,1.7964897000001656,0.32272939999984374,,,,,nat_1,001,2020_Jan_31_1418,posner,3.1.5,59.96339834168466,
0.5,180,1,right,2,4,0,0,0,0,0,4,4,7,,,,,,,,,34.34713469999997,34.84749640000018,35.56498439999996,None,34.86404700000003,35.548200799999904,36.065867400000116,None,right,1,36.065867400000116,None,None,34.86404700000003,36.04879519999986,0.5118837999998505,0.595122100000026,1.7131717000002027,1.796893799999907,0.36489380000011806,,,,,nat_1,001,2020_Jan_31_1418,posner,3.1.5,59.96339834168466,
-0.5,0,1,left,1,3,0,0,0,0,0,5,5,2,,,,,,,,,36.449648100000104,36.95019730000013,37.667916700000205,None,36.96707719999995,37.65126719999989,38.16852800000015,None,left,1,38.16852800000015,None,None,36.96707719999995,38.152192900000045,0.5121858000002248,0.5956206999999267,1.714154199999939,1.7974076000000423,0.31041700000014316,,,,,nat_1,001,2020_Jan_31_1418,posner,3.1.5,59.96339834168466,
0.5,0,0,right,1,4,0,0,0,0,0,6,6,3,,,,,,,,,38.5032240999999,39.003064600000016,39.720620300000064,None,39.019657299999835,39.70403810000016,40.2212899000001,None,right,1,40.2212899000001,None,None,39.019657299999835,40.20473540000012,0.5116259999999784,0.5952395999997862,1.7132723999998234,1.7966153999996095,0.3695714999998927,,,,,nat_1,001,2020_Jan_31_1418,posner,3.1.5,59.96339834168466,
-0.5,180,0,left,2,3,0,0,0,0,0,7,7,4,,,,,,,,,40.62276840000004,41.12256410000009,41.840375100000074,None,41.13919100000021,41.82365359999994,42.34084470000016,None,left,1,42.34084470000016,None,None,41.13919100000021,42.32447400000001,0.5115292000000409,0.5951580000000831,1.7134187999999995,1.7966292000000976,0.3618891999999505,,,,,nat_1,001,2020_Jan_31_1418,posner,3.1.5,59.96339834168466,
-0.5,0,1,left,1,3,0,0,0,0,1,0,8,2,,,,,,,,,42.72514940000019,43.2256668,43.943052799999805,None,43.242184499999894,43.92643649999991,44.44407890000002,None,left,1,44.44407890000002,None,None,43.242184499999894,44.427199499999915,0.5122873000000254,0.595507600000019,1.7138033999999607,1.7970506999999998,0.2906548999999359,,,,,nat_1,001,2020_Jan_31_1418,posner,3.1.5,59.96339834168466,
0.5,0,0,right,1,4,0,0,0,0,1,1,9,3,,,,,,,,,44.76155870000002,45.26148280000007,45.97933349999994,None,45.27831430000015,45.96269480000001,46.47983169999998,None,right,1,46.47983169999998,None,None,45.27831430000015,46.46324510000022,0.5113984999998138,0.5950063999998747,1.7131283999997322,1.796681499999977,0.3670305999999073,,,,,nat_1,001,2020_Jan_31_1418,posner,3.1.5,59.96339834168466,
0.5,180,1,right,2,4,0,0,0,0,1,2,10,5,,,,,,,,,46.864840300000196,47.36463279999998,48.082251499999984,None,47.38119649999999,48.065514800000074,48.58292859999983,None,right,1,48.58292859999983,None,None,47.38119649999999,48.56630379999979,0.5112283999997089,0.5946521999999277,1.712873099999797,1.796267899999748,0.328138499999568,,,,,nat_1,001,2020_Jan_31_1418,posner,3.1.5,59.96339834168466,
-0.5,0,1,left,1,3,0,0,0,0,1,3,11,0,,,,,,,,,48.9343558999999,49.43429650000007,50.1517417,None,49.450960399999985,50.13514639999994,50.65279390000023,None,left,1,50.65279390000023,None,None,49.450960399999985,50.63573619999988,0.5114652000002025,0.5947144000001572,1.7128875000003063,1.7962409000001571,0.32200960000000123,,,,,nat_1,001,2020_Jan_31_1418,posner,3.1.5,59.96339834168466,
0.5,180,1,right,2,4,0,0,0,0,1,4,12,7,,,,,,,,,51.00390389999984,51.50373609999997,52.22145229999978,None,51.520295199999964,52.204763300000195,52.721959999999854,None,right,1,52.721959999999854,None,None,51.520295199999964,52.705371000000014,0.511474200000066,0.5947854999999436,1.7130926999998337,1.7963538999997581,0.28475909999997384,,,,,nat_1,001,2020_Jan_31_1418,posner,3.1.5,59.96339834168466,
-0.5,180,0,left,2,3,0,0,0,0,1,5,13,4,,,,,,,,,53.023500499999955,53.52317129999983,54.24060120000013,None,53.53949659999989,54.224047600000176,54.7413932999998,None,left,1,54.7413932999998,None,None,53.53949659999989,54.7246911000002,0.5113268999998581,0.5944807000000765,1.7128352999998242,1.7961049000000457,0.31333619999986695,,,,,nat_1,001,2020_Jan_31_1418,posner,3.1.5,59.96339834168466,
-0.5,0,1,left,1,3,0,0,0,0,1,6,14,1,,,,,,,,,55.075518399999964,55.57587280000007,56.29355200000009,None,55.59250750000001,56.276862600000186,56.79420500000015,None,left,1,56.79420500000015,None,None,55.59250750000001,56.77747469999986,0.511572100000194,0.5950246000002153,1.7131579000001693,1.7964773000003333,0.29247910000003685,,,,,nat_1,001,2020_Jan_31_1418,posner,3.1.5,59.96339834168466,
0.5,180,1,right,2,4,0,0,0,0,1,7,15,6,,,,,,,,,57.11202180000009,57.612070799999856,58.32959070000015,None,57.62862210000003,58.31297760000007,58.83013600000004,59.31449109999994,None,0,58.83013600000004,None,None,57.62862210000003,58.81357900000012,0.5115445000001273,0.5949620000001232,1.7130448000002616,1.7966455000000678,,,,,,nat_1,001,2020_Jan_31_1418,posner,3.1.5,59.96339834168466,
-0.5,0,1,left,1,3,0,0,0,0,2,0,16,1,,,,,,,,,59.81495899999982,60.31566380000004,61.03337079999983,59.81495899999982,60.332566099999895,61.01674110000022,61.53407470000002,None,left,1,61.53407470000002,None,None,60.332566099999895,61.517242700000224,0.5136352999998053,0.5969670999998016,1.7151999999996406,1.7987317999995867,0.3206101000000672,,,,,nat_1,001,2020_Jan_31_1418,posner,3.1.5,59.96339834168466,
