targetX,cueOri,congr,corrAns,pin_cue,pin_target,block.thisRepN,block.thisTrialN,block.thisN,block.thisIndex,posner_task.thisRepN,posner_task.thisTrialN,posner_task.thisN,posner_task.thisIndex,port_start_block.started,port_start_block.stopped,text_2.started,text_2.stopped,p_port.started,p_port.stopped,text.started,text.stopped,fixation_1.started,fixation_1.stopped,fixation_2.started,fixation_2.stopped,cue.started,cue.stopped,target.started,target.stopped,correct_key_resp.keys,correct_key_resp.corr,correct_key_resp.rt,correct_key_resp.started,correct_key_resp.stopped,early_resp.keys,early_resp.started,early_resp.stopped,trigger_cue.started,trigger_cue.stopped,trigger_target.started,trigger_target.stopped,break_text.started,break_text.stopped,end_port.started,end_port.stopped,participant,session,date,expName,psychopyVersion,frameRate,
0.5,0,0,right,1,4,0,0,0,0,1,5,13,3,,,,,,,,,51.63455400000021,52.13417910000044,52.851637499999924,None,52.1509315000003,52.83493920000001,53.352503799999795,None,right,1,0.3751249999995707,53.352503799999795,None,None,52.1509315000003,53.33603700000003,0.5117015999994692,0.5951920999996219,1.7135351999995692,1.796628199999759,,,,,nikita_3,001,2020_Feb_13_1331,posner,3.1.5,59.925883666929955,
0.5,180,1,right,2,4,0,0,0,0,1,6,14,7,,,,,,,,,53.75381990000005,54.2535512000004,54.97139090000019,None,54.270536699999866,54.95451300000059,55.47187920000033,None,right,1,0.3597857999993721,55.47187920000033,None,None,54.270536699999866,55.455621500000234,0.5113844000006793,0.5949644000002081,1.7134343000006993,1.7967625000001135,,,,,nikita_3,001,2020_Feb_13_1331,posner,3.1.5,59.925883666929955,
-0.5,0,1,left,1,3,0,0,0,0,1,7,15,1,,,,,,,,,55.85616140000002,56.35665659999995,57.07428130000062,None,56.37317820000044,57.05754410000009,57.57500720000007,None,left,1,0.3365731000003507,57.57500720000007,None,None,56.37317820000044,57.55834740000046,0.5124136000004,0.595863499999723,1.714088300000185,1.797381200000018,,,,,nikita_3,001,2020_Feb_13_1331,posner,3.1.5,59.925883666929955,
-0.5,180,0,left,2,3,0,0,0,0,2,0,16,4,,,,,,,,,57.94278350000059,58.44273350000003,59.160651600000165,None,58.459679999999935,59.14360720000059,59.66106000000036,None,left,1,0.346664900000178,59.66106000000036,None,None,58.459679999999935,59.64442550000058,0.5114742000005208,0.5949642000005042,1.7131461999997555,1.7965198000001692,,,,,nikita_3,001,2020_Feb_13_1331,posner,3.1.5,59.925883666929955,
-0.5,0,1,left,1,3,0,0,0,0,2,1,17,2,,,,,,,,,60.0291072,60.528907300000355,61.24673020000046,None,60.54584010000053,61.23009490000004,61.747367800000575,None,left,1,0.3322548000005554,61.747367800000575,None,None,60.54584010000053,61.730782000000545,0.5115107000001444,0.5950184000002992,1.713363500000014,1.7966667999999117,,,,,nikita_3,001,2020_Feb_13_1331,posner,3.1.5,59.925883666929955,
0.5,180,1,right,2,4,0,0,0,0,2,2,18,7,,,,,,,,,62.098701699999765,62.598672900000565,63.31613280000056,None,62.61524759999975,63.299529099999745,63.817041600000266,None,right,1,0.30257410000012896,63.817041600000266,None,None,62.61524759999975,63.80042390000017,0.5116689000005863,0.594829500000742,1.7134032000003572,1.796592600000622,,,,,nikita_3,001,2020_Feb_13_1331,posner,3.1.5,59.925883666929955,
-0.5,0,1,left,1,3,0,0,0,0,2,3,19,1,,,,,,,,,64.1515317000003,64.65127099999972,65.36902030000056,None,64.66804349999984,65.3522724000004,65.8696602,None,left,1,0.3220616999997219,65.8696602,None,None,64.66804349999984,65.85283309999977,0.5112440000002607,0.5947519999999713,1.7127831999996488,1.796496500000103,,,,,nikita_3,001,2020_Feb_13_1331,posner,3.1.5,59.925883666929955,
0.5,180,1,right,2,4,0,0,0,0,2,4,20,6,,,,,,,,,66.22087310000006,66.72100510000018,67.43845510000028,None,66.73752000000059,67.42190159999973,67.93934940000054,None,right,1,0.3242082000006121,67.93934940000054,None,None,66.73752000000059,67.9225221000006,0.51171179999983,0.594840199999453,1.7132174999997005,1.7966298999999708,,,,,nikita_3,001,2020_Feb_13_1331,posner,3.1.5,59.925883666929955,
0.5,0,0,right,1,4,0,0,0,0,2,5,21,3,,,,,,,,,68.29024320000008,68.79043270000057,69.50796260000061,None,68.80712610000046,69.4914662000001,70.00880320000033,None,right,1,0.3427542999997968,70.00880320000033,None,None,68.80712610000046,69.99191390000033,0.5118611999996574,0.5951687999995556,1.7133286999996926,1.7968833999993876,,,,,nikita_3,001,2020_Feb_13_1331,posner,3.1.5,59.925883666929955,
-0.5,0,1,left,1,3,0,0,0,0,2,6,22,0,,,,,,,,,70.37666600000011,70.87665370000013,71.59432500000003,None,70.89335560000018,71.57757730000048,72.09477489999972,None,left,1,0.3128015000002051,72.09477489999972,None,None,70.89335560000018,72.0781766,0.5115935000003446,0.5950437999999849,1.7130995000006806,1.796649900000375,,,,,nikita_3,001,2020_Feb_13_1331,posner,3.1.5,59.925883666929955,
0.5,180,1,right,2,4,0,0,0,0,2,7,23,5,,,,,,,,,72.42949000000044,72.92953600000055,73.64686140000049,None,72.9460880000006,73.63079540000035,74.14785050000046,None,right,1,0.31571940000048926,74.14785050000046,None,None,72.9460880000006,74.13111990000016,0.5116631999999299,0.594833699999981,1.7132337000002735,1.7966549000002487,,,,,nikita_3,001,2020_Feb_13_1331,posner,3.1.5,59.925883666929955,
0.5,180,1,right,2,4,0,0,0,0,3,0,24,5,,,,,,,,,74.48204050000004,74.98208560000057,75.70003160000033,None,74.99880529999973,75.68306399999983,76.20066560000032,None,right,1,0.33491219999996247,76.20066560000032,None,None,74.99880529999973,76.18375879999985,0.511774399999922,0.5954022000005352,1.7134246000005078,1.7971008000004076,,,,,nikita_3,001,2020_Feb_13_1331,posner,3.1.5,59.925883666929955,
-0.5,0,1,left,1,3,0,0,0,0,3,1,25,1,,,,,,,,,76.5517647000006,77.05171320000045,77.7693104,None,77.06847850000031,77.75272180000047,78.27015350000056,None,left,1,0.321349800000462,78.27015350000056,None,None,77.06847850000031,78.2534295000005,0.5115796000000046,0.595104099999844,1.7132854999999836,1.7971102000001338,,,,,nikita_3,001,2020_Feb_13_1331,posner,3.1.5,59.925883666929955,
-0.5,180,0,left,2,3,0,0,0,0,3,2,26,4,,,,,,,,,78.62109359999977,79.12118590000046,79.83884690000014,None,79.13798839999981,79.82207639999979,80.33972069999982,None,left,1,0.34782840000025317,80.33972069999982,None,None,79.13798839999981,80.32285670000056,0.5115105000004405,0.594879199999923,1.7131627999997363,1.796584100000473,,,,,nikita_3,001,2020_Feb_13_1331,posner,3.1.5,59.925883666929955,
