targetX,cueOri,congr,corrAns,pin_cue,pin_target,block.thisRepN,block.thisTrialN,block.thisN,block.thisIndex,posner_task.thisRepN,posner_task.thisTrialN,posner_task.thisN,posner_task.thisIndex,port_start_block.started,port_start_block.stopped,text_2.started,text_2.stopped,p_port.started,p_port.stopped,text.started,text.stopped,fixation_1.started,fixation_1.stopped,fixation_2.started,fixation_2.stopped,cue.started,cue.stopped,target.started,target.stopped,correct_key_resp.keys,correct_key_resp.corr,correct_key_resp.rt,correct_key_resp.started,correct_key_resp.stopped,early_resp.keys,early_resp.started,early_resp.stopped,trigger_cue.started,trigger_cue.stopped,trigger_target.started,trigger_target.stopped,break_text.started,break_text.stopped,end_port.started,end_port.stopped,participant,session,date,expName,psychopyVersion,frameRate,
-0.5,0,1,left,1,3,0,0,0,0,0,0,0,0,1.7999999727180693e-05,0.09749349999992774,13.900847299999896,None,1.4899999769113492e-05,0.09945509999988644,15.786377899999934,None,16.12121500000012,16.62100620000001,17.338760000000093,None,16.63770119999981,17.32184189999998,17.839201199999934,None,left,1,0.3169329000002108,17.839201199999934,None,None,16.63770119999981,17.822925099999793,0.5091803000000255,0.5923684999997931,1.7110815000000912,1.7942437000001519,,,,,anne_3,001,2020_Feb_10_1245,posner,3.1.5,60.055371052065794,
-0.5,180,0,left,2,3,0,0,0,0,0,1,1,4,,,,,,,,,18.174202100000002,18.673766200000046,19.391203099999984,None,18.69053040000017,19.374826799999937,19.89214119999997,None,left,1,0.3678837000002204,19.89214119999997,None,None,18.69053040000017,19.875602499999786,0.5107029000000693,0.5941425000000891,1.7125221999999667,1.7956655000002684,,,,,anne_3,001,2020_Feb_10_1245,posner,3.1.5,60.055371052065794,
-0.5,0,1,left,1,3,0,0,0,0,0,2,2,2,,,,,,,,,20.276792699999987,20.77674399999978,21.49444820000008,None,20.79326919999994,21.47757219999994,21.995006300000114,None,left,1,0.30501700000013443,21.995006300000114,None,None,20.79326919999994,21.978377200000068,0.5114644999998745,0.5946815999996033,1.713080899999568,1.7964028999999755,,,,,anne_3,001,2020_Feb_10_1245,posner,3.1.5,60.055371052065794,
-0.5,0,1,left,1,3,0,0,0,0,0,3,3,1,,,,,,,,,22.329382099999748,22.82945689999997,23.54722129999982,None,22.846302399999786,23.530271099999936,24.047832599999765,None,left,1,0.34043409999958385,24.047832599999765,None,None,22.846302399999786,24.031020500000068,0.5116139000001567,0.5948441000000457,1.7131623999998737,1.7966338999999607,,,,,anne_3,001,2020_Feb_10_1245,posner,3.1.5,60.055371052065794,
0.5,180,1,right,2,4,0,0,0,0,0,4,4,5,,,,,,,,,24.4156696,24.915649999999914,25.63334880000002,None,24.932250700000168,25.616471400000137,26.13389649999999,None,right,1,0.2781134000001657,26.13389649999999,None,None,24.932250700000168,26.11743380000007,0.5116726000001108,0.5951475000001665,1.713431700000001,1.796602299999904,,,,,anne_3,001,2020_Feb_10_1245,posner,3.1.5,60.055371052065794,
0.5,180,1,right,2,4,0,0,0,0,0,5,5,7,,,,,,,,,26.43505520000008,26.93504639999992,27.652584699999807,None,26.951720900000055,27.636081099999956,28.153411499999947,None,right,1,0.3467827999998008,28.153411499999947,None,None,26.951720900000055,28.136703699999998,0.5114786999997705,0.5950681999997869,1.7131148999997095,1.7965917999999874,,,,,anne_3,001,2020_Feb_10_1245,posner,3.1.5,60.055371052065794,
0.5,180,1,right,2,4,0,0,0,0,0,6,6,6,,,,,,,,,28.521396000000095,29.021210599999904,29.738819199999853,None,29.03799170000002,29.722198099999787,30.239753599999858,None,right,1,0.36430060000020603,30.239753599999858,None,None,29.03799170000002,30.22293630000013,0.5114164000001438,0.5949973000001592,1.7133858000001965,1.796812100000352,,,,,anne_3,001,2020_Feb_10_1245,posner,3.1.5,60.055371052065794,
0.5,0,0,right,1,4,0,0,0,0,0,7,7,3,,,,,,,,,30.62457829999994,31.12433800000008,31.84175389999973,None,31.14076570000043,31.82504800000015,32.34242839999979,None,right,1,0.437668799999301,32.34242839999979,None,None,31.14076570000043,32.32580459999963,0.511600300000282,0.5949777999994694,1.7130514999998923,1.7964842999999746,,,,,anne_3,001,2020_Feb_10_1245,posner,3.1.5,60.055371052065794,
0.5,180,1,right,2,4,0,0,0,0,1,0,8,5,,,,,,,,,32.80987649999997,33.31044179999981,34.028155499999684,None,33.327313199999935,34.0114595,34.52878920000012,None,right,1,0.3233355999991545,34.52878920000012,None,None,33.327313199999935,34.512193000000025,0.5121926000001622,0.5958122000001822,1.7139241000004404,1.7974420999998983,,,,,anne_3,001,2020_Feb_10_1245,posner,3.1.5,60.055371052065794,
0.5,0,0,right,1,4,0,0,0,0,1,1,9,3,,,,,,,,,34.879644899999676,35.38029919999963,36.09783149999976,None,35.39670640000031,36.081003699999656,36.598488400000406,None,right,1,0.3815635000000839,36.598488400000406,None,None,35.39670640000031,36.5816619000002,0.5123013999991599,0.5955632999994123,1.7136447999992015,1.7973058999996283,,,,,anne_3,001,2020_Feb_10_1245,posner,3.1.5,60.055371052065794,
