targetX,cueOri,congr,corrAns,pin_cue,pin_target,block.thisRepN,block.thisTrialN,block.thisN,block.thisIndex,posner_task.thisRepN,posner_task.thisTrialN,posner_task.thisN,posner_task.thisIndex,port_start_block.started,port_start_block.stopped,text_2.started,text_2.stopped,p_port.started,p_port.stopped,text.started,text.stopped,fixation_1.started,fixation_1.stopped,fixation_2.started,fixation_2.stopped,cue.started,cue.stopped,target.started,target.stopped,correct_key_resp.keys,correct_key_resp.corr,correct_key_resp.rt,correct_key_resp.started,correct_key_resp.stopped,early_resp.keys,early_resp.rt,early_resp.started,early_resp.stopped,trigger_cue.started,trigger_cue.stopped,trigger_target.started,trigger_target.stopped,break_text.started,break_text.stopped,end_port.started,end_port.stopped,participant,session,date,expName,psychopyVersion,frameRate,
0.5,0,0,right,1,4,0,0,0,0,1,3,11,3,,,,,,,,,41.5482463999997,42.04804659999991,42.76575959999991,None,42.064661100000194,42.74886559999959,43.26618689999941,None,right,1,0.3108154999999897,43.26618689999941,None,None,,42.064661100000194,43.24979769999936,0.5116055999997116,0.5948742999999013,1.7133339000001797,1.7966776000002938,,,,,syed_2,001,2020_Feb_07_1537,posner,3.1.5,59.87690505849263,
-0.5,0,1,left,1,3,0,0,0,0,1,4,12,0,,,,,,,,,43.60083039999972,44.10087190000013,44.818506999999954,None,44.117502799999784,44.80177249999997,45.319294299999456,None,left,1,0.32985110000026907,45.319294299999456,None,None,,44.117502799999784,45.302336300000206,0.51185439999972,0.5951886999991984,1.713305099999161,1.7968237999994017,,,,,syed_2,001,2020_Feb_07_1537,posner,3.1.5,59.87690505849263,
0.5,180,1,right,2,4,0,0,0,0,1,5,13,5,,,,,,,,,45.67118990000017,46.17023209999934,46.88802599999963,None,46.1870528999998,46.871120699999665,47.388559399999394,None,right,1,0.2685498999999254,47.388559399999394,None,None,,46.1870528999998,47.37184989999969,0.5110533000006399,0.5947013000004517,1.7126568000003317,1.796328899999935,,,,,syed_2,001,2020_Feb_07_1537,posner,3.1.5,59.87690505849263,
0.5,180,1,right,2,4,0,0,0,0,1,6,14,7,,,,,,,,,47.67343999999957,48.172957299999325,48.89070279999942,None,48.189728899999864,48.874105699999745,49.39140419999967,None,right,1,0.28190189999986615,49.39140419999967,None,None,,48.189728899999864,49.37473829999999,0.5113074999999299,0.5949796000004426,1.7130744000005507,1.7965100999999777,,,,,syed_2,001,2020_Feb_07_1537,posner,3.1.5,59.87690505849263,
0.5,180,1,right,2,4,0,0,0,0,1,7,15,6,,,,,,,,,49.6921214999993,50.19228359999943,50.91031649999968,None,50.20943569999963,50.89344489999985,51.410928199999944,None,right,1,0.30212180000035005,51.410928199999944,None,None,,50.20943569999963,51.39407399999982,0.5120684000003166,0.5956134000007296,1.7138399000004938,1.7972970999999234,,,,,syed_2,001,2020_Feb_07_1537,posner,3.1.5,59.87690505849263,
0.5,0,0,right,1,4,0,0,0,0,2,0,16,3,,,,,,,,,51.728886999999304,52.2288638,52.94624599999952,None,52.24527719999969,52.9297532999999,53.44703819999995,None,right,1,0.3221380999993926,53.44703819999995,None,None,,52.24527719999969,53.43016660000012,0.5119093000002977,0.5950148000001718,1.71320360000027,1.7967145000002347,,,,,syed_2,001,2020_Feb_07_1537,posner,3.1.5,59.87690505849263,
0.5,180,1,right,2,4,0,0,0,0,2,1,17,7,,,,,,,,,53.798551699999734,54.298124500000085,55.015737900000204,None,54.31502879999971,54.99930499999937,55.51642769999944,None,right,1,0.2925638999995499,55.51642769999944,None,None,,54.31502879999971,55.4998470999999,0.5115138999999544,0.5949015999995027,1.7132167999998273,1.7965729999996256,,,,,syed_2,001,2020_Feb_07_1537,posner,3.1.5,59.87690505849263,
-0.5,180,0,left,2,3,0,0,0,0,2,2,18,4,,,,,,,,,55.834387299999435,56.3342791999994,57.051764199999525,None,56.35098769999968,57.03544729999976,57.5525319999997,None,left,1,0.3284088000000338,57.5525319999997,None,None,,56.35098769999968,57.53584729999966,0.5117459999992207,0.5950546999993094,1.713293199999498,1.7970274999997855,,,,,syed_2,001,2020_Feb_07_1537,posner,3.1.5,59.87690505849263,
-0.5,0,1,left,1,3,0,0,0,0,2,3,19,0,,,,,,,,,57.903774299999895,58.40370069999972,59.1214215,None,58.42039629999999,59.10477329999958,59.622012599999834,None,left,1,0.32310989999950834,59.622012599999834,None,None,,58.42039629999999,59.6054065999997,0.5115081000003556,0.5951042000006055,1.713194900000417,1.7968939000002138,,,,,syed_2,001,2020_Feb_07_1537,posner,3.1.5,59.87690505849263,
0.5,180,1,right,2,4,0,0,0,0,2,4,20,5,,,,,,,,,59.97358660000009,60.47345249999944,61.190995799999655,None,60.489782300000115,61.174258899999586,61.69152870000016,None,right,1,0.2775004999994053,61.69152870000016,None,None,,60.489782300000115,61.67522969999936,0.5119439999998576,0.5952753000001394,1.7136953999997786,1.7967794999995021,,,,,syed_2,001,2020_Feb_07_1537,posner,3.1.5,59.87690505849263,
