targetX,cueOri,congr,corrAns,pin_cue,pin_target,block.thisRepN,block.thisTrialN,block.thisN,block.thisIndex,posner_task.thisRepN,posner_task.thisTrialN,posner_task.thisN,posner_task.thisIndex,port_start_block.started,port_start_block.stopped,text_2.started,text_2.stopped,p_port.started,p_port.stopped,text.started,text.stopped,fixation_1.started,fixation_1.stopped,fixation_2.started,fixation_2.stopped,cue.started,cue.stopped,target.started,target.stopped,correct_key_resp.keys,correct_key_resp.corr,correct_key_resp.rt,correct_key_resp.started,correct_key_resp.stopped,early_resp.keys,early_resp.started,early_resp.stopped,trigger_cue.started,trigger_cue.stopped,trigger_target.started,trigger_target.stopped,break_text.started,break_text.stopped,end_port.started,end_port.stopped,early_resp.rt,participant,session,date,expName,psychopyVersion,frameRate,
0.5,180,1,right,2,4,0,0,0,0,0,0,0,6,1.7299999854003545e-05,0.10011329999997542,48.481617800000095,None,1.5299999631679384e-05,0.09948799999983748,50.38401909999993,None,50.71590400000014,51.218764700000065,51.936305000000175,None,51.23522509999975,51.919656999999916,52.43681340000012,None,right,1,0.22860979999995834,52.43681340000012,None,None,51.23522509999975,52.42037560000017,0.5120804000002863,0.5953462000002219,1.7136748000002626,1.7970619000002443,,,,,,anne_1,001,2020_Feb_10_1221,posner,3.1.5,59.98703080399065,
-0.5,0,1,left,1,3,0,0,0,0,0,1,1,2,,,,,,,,,52.688635200000135,53.187947500000064,53.90556639999977,None,53.20467740000004,53.88895539999976,54.40634739999996,None,left,1,0.24305640000011408,54.40634739999996,None,None,53.20467740000004,54.389617199999975,0.5103895000002012,0.5940717000003133,1.7120591000002605,1.7956914000001234,,,,,,anne_1,001,2020_Feb_10_1221,posner,3.1.5,59.98703080399065,
0.5,180,1,right,2,4,0,0,0,0,0,2,2,5,,,,,,,,,54.674121399999876,55.17408810000006,55.89193299999988,None,55.19068460000017,55.87493979999999,56.39237610000009,None,right,1,0.2250157000003128,56.39237610000009,None,None,55.19068460000017,56.37556799999993,0.5118434999999408,0.5951958999999079,1.7133221999997659,1.7969256999999743,,,,,,anne_1,001,2020_Feb_10_1221,posner,3.1.5,59.98703080399065,
0.5,180,1,right,2,4,0,0,0,0,0,3,3,7,,,,,,,,,56.64337029999979,57.14347439999983,57.86095549999982,None,57.159975399999894,57.844356699999935,58.361816199999794,None,right,1,0.26361499999984517,58.361816199999794,None,None,57.159975399999894,58.344973299999765,0.5116668000000573,0.5951301000000058,1.7131512999999359,1.7967853000000105,,,,,,anne_1,001,2020_Feb_10_1221,posner,3.1.5,59.98703080399065,
0.5,0,0,right,1,4,0,0,0,0,0,4,4,3,,,,,,,,,58.64570229999981,59.14629460000015,59.86369000000013,None,59.16285979999975,59.84698819999994,60.364450099999885,None,right,1,0.3650041000000783,60.364450099999885,None,None,59.16285979999975,60.34809809999979,0.5115599000000657,0.5950329000002057,1.7133488999998008,1.7966458000000785,,,,,,anne_1,001,2020_Feb_10_1221,posner,3.1.5,59.98703080399065,
-0.5,0,1,left,1,3,0,0,0,0,0,5,5,1,,,,,,,,,60.74972879999996,61.24917890000006,61.9665473,None,61.26552450000008,61.950077299999975,62.46727329999976,None,left,1,0.2701033000003008,62.46727329999976,None,None,61.26552450000008,62.45082000000002,0.511352199999692,0.5948072999999567,1.7129782999995768,1.796216099999583,,,,,,anne_1,001,2020_Feb_10_1221,posner,3.1.5,59.98703080399065,
-0.5,180,0,left,2,3,0,0,0,0,0,6,6,4,,,,,,,,,62.76849319999974,63.26851429999988,63.98610610000014,None,63.285274299999855,63.96928939999998,64.48689479999985,None,left,1,0.3865225999998074,64.48689479999985,None,None,63.285274299999855,64.47018109999999,0.5116637999999512,0.5951751000002332,1.7133091999999124,1.7967050000002018,,,,,,anne_1,001,2020_Feb_10_1221,posner,3.1.5,59.98703080399065,
-0.5,0,1,left,1,3,0,0,0,0,0,7,7,0,,,,,,,,,64.90480780000007,65.40463619999991,66.12251639999977,None,65.42154479999999,66.10566139999992,66.62330109999994,None,left,1,0.362287799999649,66.62330109999994,None,None,65.42154479999999,66.60631990000002,0.5114885000002687,0.5951519000000189,1.7131549000000632,1.7968516999999338,,,,,,anne_1,001,2020_Feb_10_1221,posner,3.1.5,59.98703080399065,
-0.5,0,1,left,1,3,0,0,0,0,1,0,8,0,,,,,,,,,67.00820139999996,67.50779629999988,68.22522849999996,None,67.52425820000008,68.2087719000001,68.72597600000017,None,left,1,0.30743040000015753,68.72597600000017,None,None,67.52425820000008,68.70965699999988,0.5112574999998287,0.5946134999999231,1.7130973999996968,1.796178300000065,,,,,,anne_1,001,2020_Feb_10_1221,posner,3.1.5,59.98703080399065,
0.5,180,1,right,2,4,0,0,0,0,1,1,9,7,,,,,,,,,69.06068090000008,69.56053639999982,70.27815090000013,None,69.57717300000013,70.26154309999993,70.77901389999988,None,right,1,0.34230269999989105,70.77901389999988,None,None,69.57717300000013,70.76226210000004,0.5114997999999105,0.5948284999999487,1.713222599999881,1.7965648999997939,,,,,,anne_1,001,2020_Feb_10_1221,posner,3.1.5,59.98703080399065,
-0.5,0,1,left,1,3,0,0,0,0,1,2,10,2,,,,,,,,,71.14698610000005,71.64672419999988,72.36428780000006,None,71.66335859999981,72.34780240000009,72.86504500000001,None,left,1,0.3043118999999024,72.86504500000001,None,None,71.66335859999981,72.84848610000017,0.5115680999997494,0.5950548999999228,1.7133106999999654,1.7966631999997844,,,,,,anne_1,001,2020_Feb_10_1221,posner,3.1.5,59.98703080399065,
0.5,180,1,right,2,4,0,0,0,0,1,3,11,6,,,,,,,,,73.19954770000004,73.69971979999991,74.41716760000008,None,73.71610379999993,74.40069799999992,74.91799420000007,None,right,1,0.2672608000002583,74.91799420000007,None,None,73.71610379999993,74.90138739999975,0.5115253999997549,0.5949640999997428,1.713175599999886,1.7963313999998718,,,,,,anne_1,001,2020_Feb_10_1221,posner,3.1.5,59.98703080399065,
0.5,0,0,right,1,4,0,0,0,0,1,4,12,3,,,,,,,,,75.20207189999974,75.70256130000007,76.42006899999978,None,75.71905000000015,76.4034842000001,76.92070079999985,None,right,1,0.3525736000001416,76.92070079999985,None,None,75.71905000000015,76.90394680000009,0.5119695000003048,0.5950929999999062,1.7133437000002232,1.7969083000002684,,,,,,anne_1,001,2020_Feb_10_1221,posner,3.1.5,59.98703080399065,
-0.5,180,0,left,2,3,0,0,0,0,1,5,13,4,,,,,,,,,77.30491110000003,77.80521409999983,78.5229774999998,None,77.82204349999984,78.50605210000003,79.02371360000006,None,left,1,0.25758089999999356,79.02371360000006,None,None,77.82204349999984,79.00668910000013,0.5121997999999621,0.5957346999998663,1.7136557999997422,1.7974208000000544,,,,,,anne_1,001,2020_Feb_10_1221,posner,3.1.5,59.98703080399065,
0.5,180,1,right,2,4,0,0,0,0,1,6,14,5,,,,,,,,,79.30831059999991,79.80815849999999,80.52562579999994,None,79.82456109999976,80.50897489999988,81.02625399999988,None,right,1,0.27890019999995275,81.02625399999988,None,None,79.82456109999976,81.00963390000015,0.5118516000002273,0.5951705000002221,1.7133120000003146,1.7966902000002847,,,,,,anne_1,001,2020_Feb_10_1221,posner,3.1.5,59.98703080399065,
-0.5,0,1,left,1,3,0,0,0,0,1,7,15,1,,,,,,,,,81.32764279999992,81.82740259999991,82.54497319999973,None,81.84419089999983,82.52821779999977,83.0456208999999,None,left,1,0.27565599999979895,83.0456208999999,None,None,81.84419089999983,83.02888129999974,0.5127227999996649,0.5963165999996818,1.714172299999973,1.7979107999999542,,,,,,anne_1,001,2020_Feb_10_1221,posner,3.1.5,59.98703080399065,
-0.5,0,1,left,1,3,0,0,0,0,2,0,16,1,,,,,,,,,83.34685510000008,83.84671399999979,84.56446770000002,None,83.86359099999981,84.54799550000007,85.06511349999982,None,left,1,0.31208050000032017,85.06511349999982,None,None,83.86359099999981,85.04850600000009,0.5114385000001676,0.5949994000002334,1.7132089000001542,1.7966412000000673,,,,,,anne_1,001,2020_Feb_10_1221,posner,3.1.5,59.98703080399065,
-0.5,0,1,left,1,3,0,0,0,0,2,1,17,2,,,,,,,,,85.4000876,85.90009839999993,86.61733439999989,None,85.91643829999975,86.60073650000004,87.11818649999987,87.60237430000006,None,0,,87.11818649999987,None,None,85.91643829999975,87.10132750000002,0.5118744000001243,0.5949421000000257,1.7131263000001127,1.796502700000019,,,,,,anne_1,001,2020_Feb_10_1221,posner,3.1.5,59.98703080399065,
0.5,180,1,right,2,4,0,0,0,0,2,2,18,5,,,,,,,,,88.10279330000003,88.60359139999991,89.32097729999987,88.10279330000003,88.62029299999995,89.30416609999975,89.82188730000007,None,right,1,0.21933639999997467,89.82188730000007,None,None,88.62029299999995,89.80502250000018,0.5140483000000131,0.5970643000000564,1.7154781999997795,1.799063699999806,,,,,,anne_1,001,2020_Feb_10_1221,posner,3.1.5,59.98703080399065,
0.5,0,0,right,1,4,0,0,0,0,2,3,19,3,,,,,,,,,90.07294109999975,90.5728094000001,91.29048520000015,None,90.58964500000002,91.27401379999992,91.79124330000013,None,right,1,0.29005499999993845,91.79124330000013,None,None,90.58964500000002,91.77468970000018,0.5117092999998931,0.5949090999997679,1.7135770999998385,1.7967874000000847,,,,,,anne_1,001,2020_Feb_10_1221,posner,3.1.5,59.98703080399065,
-0.5,0,1,left,1,3,0,0,0,0,2,4,20,0,,,,,,,,,92.10914719999982,92.60901049999984,93.32657870000003,None,92.6255240999999,93.30988900000011,93.8272320000001,None,left,1,0.27821570000014617,93.8272320000001,None,None,92.6255240999999,93.81058080000003,0.5115986999999222,0.5949100999996517,1.7131512999999359,1.7965816999999333,,,,,,anne_1,001,2020_Feb_10_1221,posner,3.1.5,59.98703080399065,
