targetX,cueOri,congr,corrAns,pin_cue,pin_target,block.thisRepN,block.thisTrialN,block.thisN,block.thisIndex,posner_task.thisRepN,posner_task.thisTrialN,posner_task.thisN,posner_task.thisIndex,port_start_block.started,port_start_block.stopped,text_2.started,text_2.stopped,p_port.started,p_port.stopped,text.started,text.stopped,fixation_1.started,fixation_1.stopped,fixation_2.started,fixation_2.stopped,cue.started,cue.stopped,target.started,target.stopped,correct_key_resp.keys,correct_key_resp.corr,correct_key_resp.rt,correct_key_resp.started,correct_key_resp.stopped,early_resp.keys,early_resp.started,early_resp.stopped,trigger_cue.started,trigger_cue.stopped,trigger_target.started,trigger_target.stopped,early_resp.rt,break_text.started,break_text.stopped,end_port.started,end_port.stopped,participant,session,date,expName,psychopyVersion,frameRate,
0.5,180,1,right,2,4,0,0,0,0,0,0,0,5,2.010000025620684e-05,0.0997323999999935,16.290296499999386,None,1.3500000022759195e-05,0.09953609999956825,18.175939199999448,None,18.51774000000023,19.02688020000005,19.727962599999955,None,19.02688020000005,19.727962599999955,20.228779199999735,None,right,1,0.4085776000001715,20.228779199999735,None,None,19.02688020000005,20.212310500000058,0.5027497999999468,0.6027623999998468,1.7044694999995045,1.7876384000001053,,,,,,syed_3,001,2020_Feb_07_1550,posner,3.1.5,59.94883966007837,
-0.5,180,0,left,2,3,0,0,0,0,0,1,1,4,,,,,,,,,20.663487599999826,21.163451399999758,21.881225600000107,None,21.1803261999994,21.864488399999573,22.38179029999992,None,left,1,0.343644000000495,22.38179029999992,None,None,21.1803261999994,22.36504160000004,0.5109693000003972,0.5945897999999943,1.7125377000002118,1.7959755000001678,,,,,,syed_3,001,2020_Feb_07_1550,posner,3.1.5,59.94883966007837,
-0.5,0,1,left,1,3,0,0,0,0,0,2,2,1,,,,,,,,,22.749470900000233,23.24989269999969,23.967092400000183,None,23.26618039999994,23.95011969999996,24.46790020000026,None,left,1,0.30576339999970514,24.46790020000026,None,None,23.26618039999994,24.45136689999981,0.511872800000674,0.5951103000006697,1.7133231000007072,1.7965740000008736,,,,,,syed_3,001,2020_Feb_07_1550,posner,3.1.5,59.94883966007837,
0.5,180,1,right,2,4,0,0,0,0,0,3,3,6,,,,,,,,,24.802083999999923,25.302450999999564,26.020182399999612,None,25.31918609999957,26.003569999999854,26.52080669999941,None,right,1,0.33268690000022616,26.52080669999941,None,None,25.31918609999957,26.504084899999725,0.5115642999999181,0.5949626999999964,1.7131901000002472,1.796641200000522,,,,,,syed_3,001,2020_Feb_07_1550,posner,3.1.5,59.94883966007837,
0.5,0,0,right,1,4,0,0,0,0,0,4,4,3,,,,,,,,,26.87282409999989,27.371924999999464,28.08978979999938,None,27.388745299999755,28.072951600000124,28.59035849999964,None,right,1,0.31901879999986704,28.59035849999964,None,None,27.388745299999755,28.573785499999758,0.5109822000003987,0.5944343000001027,1.7128242999997383,1.79604449999988,,,,,,syed_3,001,2020_Feb_07_1550,posner,3.1.5,59.94883966007837,
0.5,180,1,right,2,4,0,0,0,0,0,5,5,7,,,,,,,,,28.92479749999984,29.42478299999948,30.142353100000037,None,29.441609900000003,30.125524099999893,30.64331829999992,None,right,1,0.30615059999945515,30.64331829999992,None,None,29.441609900000003,30.62632289999965,0.5116113000003679,0.5953282999998919,1.7131392999999662,1.797852600000624,,,,,,syed_3,001,2020_Feb_07_1550,posner,3.1.5,59.94883966007837,
-0.5,0,1,left,1,3,0,0,0,0,0,6,6,0,,,,,,,,,30.977511299999605,31.47756609999942,32.195275399999446,None,31.494196900000134,32.1786960999998,32.6958654,None,left,1,0.2454715000003489,32.6958654,None,None,31.494196900000134,32.67922079999971,0.5117583000001105,0.5951428999997006,1.7133975999995528,1.7969133999995393,,,,,,syed_3,001,2020_Feb_07_1550,posner,3.1.5,59.94883966007837,
-0.5,0,1,left,1,3,0,0,0,0,0,7,7,2,,,,,,,,,32.96393110000008,33.463772099999915,34.18138629999976,None,33.480379900000116,34.1646968999994,34.682158900000104,None,left,1,0.2670428000001266,34.682158900000104,None,None,33.480379900000116,34.66512760000023,0.5115919999998368,0.5948199000004024,1.7129338000004282,1.7967716000002838,,,,,,syed_3,001,2020_Feb_07_1550,posner,3.1.5,59.94883966007837,
-0.5,180,0,left,2,3,0,0,0,0,1,0,8,4,,,,,,,,,34.96678090000023,35.466269499999726,36.18413629999941,None,35.483201399999416,36.167356400000244,36.68475369999942,None,left,1,0.2884766999995918,36.68475369999942,None,None,35.483201399999416,36.66873409999971,0.5112475000005361,0.5949367000002894,1.7136888000004546,1.7967932000001383,,,,,,syed_3,001,2020_Feb_07_1550,posner,3.1.5,59.94883966007837,
0.5,180,1,right,2,4,0,0,0,0,1,1,9,7,,,,,,,,,37.00317840000025,37.502514099999644,38.22018449999996,None,37.51930279999942,38.20367230000011,38.72090930000013,None,right,1,0.3882869999997638,38.72090930000013,None,None,37.51930279999942,38.70444690000022,0.5101534000004904,0.5935667000003377,1.712063500000113,1.7951988000004349,,,,,,syed_3,001,2020_Feb_07_1550,posner,3.1.5,59.94883966007837,
0.5,180,1,right,2,4,0,0,0,0,1,2,10,6,,,,,,,,,39.138853200000085,39.639032099999895,40.35639689999971,None,39.655453999999736,40.33984229999987,40.857293399999435,None,right,1,0.25997910000023694,40.857293399999435,None,None,39.655453999999736,40.84045520000018,0.5120262999998886,0.5952824000005421,1.7134336999997686,1.796803700000055,,,,,,syed_3,001,2020_Feb_07_1550,posner,3.1.5,59.94883966007837,
