19.8581 	EXP 	fixation_1: autoDraw = True
20.3582 	EXP 	fixation_1: autoDraw = False
20.3747 	EXP 	cue: autoDraw = True
21.0591 	EXP 	cue: autoDraw = False
21.0757 	EXP 	fixation_2: autoDraw = True
21.5765 	EXP 	target: autoDraw = True
21.8993 	EXP 	New trial (rep=0, index=3): OrderedDict([('targetX', 0.5), ('cueOri', 0), ('congr', 0), ('corrAns', 'right'), ('pin_cue', 1), ('pin_target', 4)])
21.9023 	DATA 	Keypress: left
21.9110 	EXP 	fixation_1: autoDraw = False
21.9110 	EXP 	fixation_2: autoDraw = False
21.9110 	EXP 	cue: autoDraw = False
21.9110 	EXP 	target: autoDraw = False
21.9110 	EXP 	cue: ori = 0.0
21.9110 	EXP 	target: pos = array([0.5, 0. ])
21.9110 	EXP 	fixation_1: autoDraw = True
22.4109 	EXP 	fixation_1: autoDraw = False
22.4275 	EXP 	cue: autoDraw = True
23.1118 	EXP 	cue: autoDraw = False
23.1286 	EXP 	fixation_2: autoDraw = True
23.6293 	EXP 	target: autoDraw = True
23.9355 	EXP 	New trial (rep=0, index=4): OrderedDict([('targetX', -0.5), ('cueOri', 0), ('congr', 1), ('corrAns', 'left'), ('pin_cue', 1), ('pin_target', 3)])
23.9384 	DATA 	Keypress: right
23.9476 	EXP 	fixation_1: autoDraw = False
23.9476 	EXP 	fixation_2: autoDraw = False
23.9476 	EXP 	cue: autoDraw = False
23.9476 	EXP 	target: autoDraw = False
23.9476 	EXP 	cue: ori = 0.0
23.9476 	EXP 	target: pos = array([-0.5,  0. ])
23.9476 	EXP 	fixation_1: autoDraw = True
24.4473 	EXP 	fixation_1: autoDraw = False
24.4636 	EXP 	cue: autoDraw = True
25.1481 	EXP 	cue: autoDraw = False
25.1646 	EXP 	fixation_2: autoDraw = True
25.6656 	EXP 	target: autoDraw = True
25.9553 	EXP 	New trial (rep=0, index=5): OrderedDict([('targetX', -0.5), ('cueOri', 0), ('congr', 1), ('corrAns', 'left'), ('pin_cue', 1), ('pin_target', 3)])
25.9584 	DATA 	Keypress: left
25.9674 	EXP 	fixation_1: autoDraw = False
25.9674 	EXP 	fixation_2: autoDraw = False
25.9674 	EXP 	cue: autoDraw = False
25.9674 	EXP 	target: autoDraw = False
25.9674 	EXP 	cue: ori = 0.0
25.9674 	EXP 	target: pos = array([-0.5,  0. ])
25.9674 	EXP 	fixation_1: autoDraw = True
26.4668 	EXP 	fixation_1: autoDraw = False
26.4831 	EXP 	cue: autoDraw = True
27.1675 	EXP 	cue: autoDraw = False
27.1842 	EXP 	fixation_2: autoDraw = True
27.6849 	EXP 	target: autoDraw = True
28.0076 	EXP 	New trial (rep=0, index=6): OrderedDict([('targetX', 0.5), ('cueOri', 180), ('congr', 1), ('corrAns', 'right'), ('pin_cue', 2), ('pin_target', 4)])
28.0106 	DATA 	Keypress: left
28.0194 	EXP 	fixation_1: autoDraw = False
28.0194 	EXP 	fixation_2: autoDraw = False
28.0194 	EXP 	cue: autoDraw = False
28.0194 	EXP 	target: autoDraw = False
28.0194 	EXP 	cue: ori = 180.0
28.0194 	EXP 	target: pos = array([0.5, 0. ])
28.0194 	EXP 	fixation_1: autoDraw = True
28.5195 	EXP 	fixation_1: autoDraw = False
28.5359 	EXP 	cue: autoDraw = True
29.2200 	EXP 	cue: autoDraw = False
29.2370 	EXP 	fixation_2: autoDraw = True
29.7377 	EXP 	target: autoDraw = True
30.0439 	EXP 	New trial (rep=0, index=7): OrderedDict([('targetX', 0.5), ('cueOri', 180), ('congr', 1), ('corrAns', 'right'), ('pin_cue', 2), ('pin_target', 4)])
30.0471 	DATA 	Keypress: right
30.0558 	EXP 	fixation_1: autoDraw = False
30.0558 	EXP 	fixation_2: autoDraw = False
30.0558 	EXP 	cue: autoDraw = False
30.0558 	EXP 	target: autoDraw = False
30.0558 	EXP 	cue: ori = 180.0
30.0558 	EXP 	target: pos = array([0.5, 0. ])
30.0558 	EXP 	fixation_1: autoDraw = True
30.5554 	EXP 	fixation_1: autoDraw = False
30.5720 	EXP 	cue: autoDraw = True
31.2565 	EXP 	cue: autoDraw = False
31.2729 	EXP 	fixation_2: autoDraw = True
31.7737 	EXP 	target: autoDraw = True
32.0797 	EXP 	New trial (rep=1, index=0): OrderedDict([('targetX', -0.5), ('cueOri', 0), ('congr', 1), ('corrAns', 'left'), ('pin_cue', 1), ('pin_target', 3)])
32.0826 	DATA 	Keypress: right
32.0915 	EXP 	fixation_1: autoDraw = False
32.0915 	EXP 	fixation_2: autoDraw = False
32.0915 	EXP 	cue: autoDraw = False
32.0915 	EXP 	target: autoDraw = False
32.0915 	EXP 	cue: ori = 0.0
32.0915 	EXP 	target: pos = array([-0.5,  0. ])
32.0915 	EXP 	fixation_1: autoDraw = True
32.5914 	EXP 	fixation_1: autoDraw = False
32.6084 	EXP 	cue: autoDraw = True
33.2924 	EXP 	cue: autoDraw = False
33.3094 	EXP 	fixation_2: autoDraw = True
33.8100 	EXP 	target: autoDraw = True
34.1327 	EXP 	New trial (rep=1, index=1): OrderedDict([('targetX', 0.5), ('cueOri', 0), ('congr', 0), ('corrAns', 'right'), ('pin_cue', 1), ('pin_target', 4)])
34.1357 	DATA 	Keypress: left
34.1445 	EXP 	fixation_1: autoDraw = False
34.1445 	EXP 	fixation_2: autoDraw = False
34.1445 	EXP 	cue: autoDraw = False
34.1445 	EXP 	target: autoDraw = False
34.1445 	EXP 	cue: ori = 0.0
34.1445 	EXP 	target: pos = array([0.5, 0. ])
34.1445 	EXP 	fixation_1: autoDraw = True
34.6443 	EXP 	fixation_1: autoDraw = False
34.6609 	EXP 	cue: autoDraw = True
35.3455 	EXP 	cue: autoDraw = False
35.3619 	EXP 	fixation_2: autoDraw = True
35.8627 	EXP 	target: autoDraw = True
36.1523 	EXP 	New trial (rep=1, index=2): OrderedDict([('targetX', 0.5), ('cueOri', 180), ('congr', 1), ('corrAns', 'right'), ('pin_cue', 2), ('pin_target', 4)])
36.1554 	DATA 	Keypress: right
36.1640 	EXP 	fixation_1: autoDraw = False
36.1640 	EXP 	fixation_2: autoDraw = False
36.1640 	EXP 	cue: autoDraw = False
36.1640 	EXP 	target: autoDraw = False
36.1640 	EXP 	cue: ori = 180.0
36.1640 	EXP 	target: pos = array([0.5, 0. ])
36.1640 	EXP 	fixation_1: autoDraw = True
36.6640 	EXP 	fixation_1: autoDraw = False
36.6805 	EXP 	cue: autoDraw = True
37.3649 	EXP 	cue: autoDraw = False
37.3812 	EXP 	fixation_2: autoDraw = True
37.8821 	EXP 	target: autoDraw = True
38.1883 	EXP 	New trial (rep=1, index=3): OrderedDict([('targetX', 0.5), ('cueOri', 180), ('congr', 1), ('corrAns', 'right'), ('pin_cue', 2), ('pin_target', 4)])
38.1912 	DATA 	Keypress: right
38.2001 	EXP 	fixation_1: autoDraw = False
38.2001 	EXP 	fixation_2: autoDraw = False
38.2001 	EXP 	cue: autoDraw = False
38.2001 	EXP 	target: autoDraw = False
38.2001 	EXP 	cue: ori = 180.0
38.2001 	EXP 	target: pos = array([0.5, 0. ])
38.2001 	EXP 	fixation_1: autoDraw = True
38.7002 	EXP 	fixation_1: autoDraw = False
38.7167 	EXP 	cue: autoDraw = True
39.4008 	EXP 	cue: autoDraw = False
39.4177 	EXP 	fixation_2: autoDraw = True
39.9185 	EXP 	target: autoDraw = True
40.2580 	EXP 	New trial (rep=1, index=4): OrderedDict([('targetX', -0.5), ('cueOri', 180), ('congr', 0), ('corrAns', 'left'), ('pin_cue', 2), ('pin_target', 3)])
40.2609 	DATA 	Keypress: right
40.2695 	EXP 	fixation_1: autoDraw = False
40.2695 	EXP 	fixation_2: autoDraw = False
40.2695 	EXP 	cue: autoDraw = False
40.2695 	EXP 	target: autoDraw = False
40.2695 	EXP 	cue: ori = 180.0
40.2695 	EXP 	target: pos = array([-0.5,  0. ])
40.2695 	EXP 	fixation_1: autoDraw = True
40.7695 	EXP 	fixation_1: autoDraw = False
40.7862 	EXP 	cue: autoDraw = True
41.4709 	EXP 	cue: autoDraw = False
41.4870 	EXP 	fixation_2: autoDraw = True
41.9877 	EXP 	target: autoDraw = True
42.2772 	EXP 	New trial (rep=1, index=5): OrderedDict([('targetX', -0.5), ('cueOri', 0), ('congr', 1), ('corrAns', 'left'), ('pin_cue', 1), ('pin_target', 3)])
42.2801 	DATA 	Keypress: left
42.2889 	EXP 	fixation_1: autoDraw = False
42.2889 	EXP 	fixation_2: autoDraw = False
42.2889 	EXP 	cue: autoDraw = False
42.2889 	EXP 	target: autoDraw = False
42.2889 	EXP 	cue: ori = 0.0
42.2889 	EXP 	target: pos = array([-0.5,  0. ])
42.2889 	EXP 	fixation_1: autoDraw = True
42.7889 	EXP 	fixation_1: autoDraw = False
42.8057 	EXP 	cue: autoDraw = True
43.4897 	EXP 	cue: autoDraw = False
43.5066 	EXP 	fixation_2: autoDraw = True
44.0072 	EXP 	target: autoDraw = True
44.3625 	DATA 	Keypress: left
44.3796 	EXP 	New trial (rep=1, index=6): OrderedDict([('targetX', -0.5), ('cueOri', 0), ('congr', 1), ('corrAns', 'left'), ('pin_cue', 1), ('pin_target', 3)])
44.3912 	EXP 	fixation_1: autoDraw = False
44.3912 	EXP 	fixation_2: autoDraw = False
44.3912 	EXP 	cue: autoDraw = False
44.3912 	EXP 	target: autoDraw = False
44.3912 	EXP 	cue: ori = 0.0
44.3912 	EXP 	target: pos = array([-0.5,  0. ])
44.3912 	EXP 	fixation_1: autoDraw = True
44.8918 	EXP 	fixation_1: autoDraw = False
44.9085 	EXP 	cue: autoDraw = True
45.5928 	EXP 	cue: autoDraw = False
45.6095 	EXP 	fixation_2: autoDraw = True
46.1103 	EXP 	target: autoDraw = True
46.4321 	DATA 	Keypress: left
46.4497 	EXP 	New trial (rep=1, index=7): OrderedDict([('targetX', 0.5), ('cueOri', 180), ('congr', 1), ('corrAns', 'right'), ('pin_cue', 2), ('pin_target', 4)])
46.4615 	EXP 	fixation_1: autoDraw = False
46.4615 	EXP 	fixation_2: autoDraw = False
46.4615 	EXP 	cue: autoDraw = False
46.4615 	EXP 	target: autoDraw = False
46.4615 	EXP 	cue: ori = 180.0
46.4615 	EXP 	target: pos = array([0.5, 0. ])
46.4615 	EXP 	fixation_1: autoDraw = True
46.9610 	EXP 	fixation_1: autoDraw = False
46.9781 	EXP 	cue: autoDraw = True
47.6622 	EXP 	cue: autoDraw = False
47.6791 	EXP 	fixation_2: autoDraw = True
48.1796 	EXP 	target: autoDraw = True
