targetX,cueOri,congr,corrAns,pin_cue,pin_target,block.thisRepN,block.thisTrialN,block.thisN,block.thisIndex,posner_task.thisRepN,posner_task.thisTrialN,posner_task.thisN,posner_task.thisIndex,port_start_block.started,port_start_block.stopped,text_2.started,text_2.stopped,p_port.started,p_port.stopped,text.started,text.stopped,fixation_1.started,fixation_1.stopped,fixation_2.started,fixation_2.stopped,cue.started,cue.stopped,target.started,target.stopped,correct_key_resp.keys,correct_key_resp.corr,correct_key_resp.rt,correct_key_resp.started,correct_key_resp.stopped,early_resp.keys,early_resp.started,early_resp.stopped,trigger_cue.started,trigger_cue.stopped,trigger_target.started,trigger_target.stopped,break_text.started,break_text.stopped,end_port.started,end_port.stopped,early_resp.rt,participant,session,date,expName,psychopyVersion,frameRate,
-0.5,0,1,left,1,3,0,0,0,0,0,0,0,0,1.7700000171316788e-05,0.09861260000070615,33.379382299999634,None,1.3399999261309858e-05,0.09956340000007913,35.24848279999969,None,35.59066609999991,36.09956019999936,36.800619099999494,None,36.09956019999936,36.800619099999494,37.30119370000011,None,left,1,0.3142806000005294,37.30119370000011,None,None,36.09956019999936,37.30119370000011,0.5023216999998112,0.6024209999995946,1.7039355999995678,1.7877072999999655,,,,,,syed_1,001,2020_Feb_07_1524,posner,3.1.5,59.97282031781605,
0.5,0,0,right,1,4,0,0,0,0,0,1,1,3,,,,,,,,,37.636245300000155,38.135800899999595,38.85358519999954,None,38.15247050000016,38.83688600000005,39.3541710999998,None,right,1,0.30925759999990987,39.3541710999998,None,None,38.15247050000016,39.33742639999946,0.5106328000001668,0.5939774999997098,1.7122362999998586,1.7957766999998057,,,,,,syed_1,001,2020_Feb_07_1524,posner,3.1.5,59.97282031781605,
-0.5,0,1,left,1,3,0,0,0,0,0,2,2,2,,,,,,,,,39.68893680000019,40.18876509999973,40.90633819999948,None,40.20536819999961,40.88948280000022,41.40709400000014,None,left,1,0.2804126000000906,41.40709400000014,None,None,40.20536819999961,41.39012180000009,0.5117915999999241,0.595174600000064,1.713130099999944,1.796678300000167,,,,,,syed_1,001,2020_Feb_07_1524,posner,3.1.5,59.97282031781605,
-0.5,180,0,left,2,3,0,0,0,0,0,3,3,4,,,,,,,,,41.70846139999958,42.20809310000004,42.92585809999946,None,42.224893300000076,42.90895199999977,43.42664799999966,None,left,1,0.34884150000016234,43.42664799999966,None,None,42.224893300000076,43.40969820000009,0.5114072000005763,0.5947842000005039,1.7130033000003095,1.7964954999997644,,,,,,syed_1,001,2020_Feb_07_1524,posner,3.1.5,59.97282031781605,
0.5,180,1,right,2,4,0,0,0,0,0,4,4,6,,,,,,,,,43.79457430000002,44.2943336999997,45.01189830000021,None,44.31090529999983,44.99530849999974,45.51268280000022,None,right,1,0.3668473999996422,45.51268280000022,None,None,44.31090529999983,45.49595769999996,0.5113477000004423,0.5947015000001556,1.7129530000001978,1.796377300000131,,,,,,syed_1,001,2020_Feb_07_1524,posner,3.1.5,59.97282031781605,
0.5,180,1,right,2,4,0,0,0,0,0,5,5,5,,,,,,,,,45.897457699999904,46.39742870000009,47.11482969999997,None,46.41379270000016,47.09808410000005,47.61566359999961,None,right,1,0.3518224999997983,47.61566359999961,None,None,46.41379270000016,47.59867729999951,0.51175719999992,0.594950699999572,1.71299689999978,1.7964868999997634,,,,,,syed_1,001,2020_Feb_07_1524,posner,3.1.5,59.97282031781605,
-0.5,0,1,left,1,3,0,0,0,0,0,6,6,1,,,,,,,,,47.983763799999906,48.48339229999965,49.20083429999977,None,48.49997329999951,49.18387619999976,49.701799100000244,None,left,1,0.29762080000000424,49.701799100000244,None,None,48.49997329999951,49.68491979999999,0.5114702999999281,0.5950132000007216,1.712981800000307,1.796498800000336,,,,,,syed_1,001,2020_Feb_07_1524,posner,3.1.5,59.97282031781605,
0.5,180,1,right,2,4,0,0,0,0,0,7,7,7,,,,,,,,,50.019978499999525,50.51950949999991,51.23720609999964,None,50.536131699999714,51.220303399999466,51.73786990000008,None,right,1,0.33372939999935625,51.73786990000008,None,None,50.536131699999714,51.72113720000016,0.5115459999997256,0.595024199999898,1.713139599999522,1.7964901999994254,,,,,,syed_1,001,2020_Feb_07_1524,posner,3.1.5,59.97282031781605,
0.5,180,1,right,2,4,0,0,0,0,1,0,8,7,,,,,,,,,52.08985289999964,52.58884719999969,53.30672869999944,None,52.60578170000008,53.289864399999715,53.807294100000036,None,right,1,0.3282220999999481,53.807294100000036,None,None,52.60578170000008,53.790600299999824,0.5110383000001093,0.5947264000005816,1.7127907000003688,1.7962874000004376,,,,,,syed_1,001,2020_Feb_07_1524,posner,3.1.5,59.97282031781605,
0.5,0,0,right,1,4,0,0,0,0,1,1,9,3,,,,,,,,,54.15841309999996,54.65848310000001,55.37629579999975,None,54.675378299999466,55.35947109999961,55.87710580000021,None,right,1,0.3383266000000731,55.87710580000021,None,None,54.675378299999466,55.86009269999977,0.5120544999999765,0.5955189999995127,1.713650400000006,1.7972325999999157,,,,,,syed_1,001,2020_Feb_07_1524,posner,3.1.5,59.97282031781605,
-0.5,0,1,left,1,3,0,0,0,0,1,2,10,1,,,,,,,,,56.245185599999786,56.74479439999959,57.462328499999785,None,56.76174549999996,57.445845199999894,57.963138199999776,None,left,1,0.33238279999932274,57.963138199999776,None,None,56.76174549999996,57.9464696999994,0.5114078000005975,0.5946334000000206,1.71305940000002,1.7963694000000032,,,,,,syed_1,001,2020_Feb_07_1524,posner,3.1.5,59.97282031781605,
