cueValid_silence,cueValid_white,cueValid_lofi,cueInvalid_silence,cueInvalid_white,cueInvalid_lofi
9.3050088,6.0634347,10.752327000000001,5.4357492,6.742513400000001,9.4717484
0.6463641,-0.6979646,1.2957633,-1.0506263,-2.6363221,-5.190796099999999
3.4120184,6.209263900000001,4.9104830999999995,2.5966095,3.5804074,6.6092087
4.2752568,5.1446191,5.3063613,5.6917072,0.46598919,2.4214816000000003
-2.3994482999999995,0.12758712,-3.9226330000000003,3.8912737999999996,-3.9706267,-1.0594468000000001
8.1553481,6.8810728,9.2545979,3.5967946000000004,6.633442,7.005985000000001
7.2415487999999995,4.8487356,4.1836189,7.819612599999999,8.9366921,5.5878487
4.8365482,6.1502235999999995,8.4986474,6.0136198,6.974308000000001,7.1639405
4.656599099999999,5.926923,6.468646499999999,4.6976779,5.2660803,3.2395712000000003
8.7469562,5.60208,8.5140815,2.109845,8.3413991,6.0006592
1.8509978999999999,7.632670399999999,3.5834786,0.96476109,3.7541811000000003,4.6988211
