cueValid_silence,cueValid_white,cueValid_lofi,cueInvalid_silence,cueInvalid_white,cueInvalid_lofi
7.936777900000001,7.909193400000001,9.591608,4.6016102,4.954753500000001,5.5148658
2.2567555,2.5007106,3.6595625,-5.2854692000000005,1.3442121,1.1637902
2.9713632000000003,1.4904469999999999,3.7026684999999997,1.6430397,-1.1795033000000001,2.7631085
5.3430349999999995,6.738006200000001,6.2589403,4.6610862,1.1570825,8.1696497
0.74342844,-0.61038794,1.9384485,0.33382514,-2.5705963,-4.6889553
8.8325203,10.198753,8.450128900000001,10.08485,13.148284,10.513561
9.0370729,6.0103249000000005,7.8090715,7.822569199999999,6.5887887,8.2421382
11.933241,13.543688000000001,12.362781,13.034586000000001,16.668791,10.281336
6.390129,7.2256056,7.4465689,2.9476716,5.5695988,4.390946
7.090418700000001,5.5523804000000005,8.0191848,6.2159657,8.019472500000001,5.1428861
7.049176299999999,5.9131332,4.9696587999999995,9.1784267,2.4048147,12.403575
