contra_silence,contra_white,contra_lofi,ipsi_silence,ipsi_white,ipsi_lofi
5.8200926,5.2375892,6.109266000000001,6.5764803,5.7273032,6.204617
0.94082514,0.80517213,0.91123351,0.92270318,0.9730733,0.92764128
1.521164,1.3937481000000003,1.3030093999999999,1.4681231000000001,1.4027454,1.4025773000000001
3.4260616,2.9295169,2.7526159,3.3226443,2.8920421000000003,2.8376189
1.3843696,1.5962546999999998,0.82986453,1.3938718,1.5279858,0.84649942
4.3125364,3.6770921999999997,3.9668371,4.3490833,3.5607365,3.8174504999999996
6.3906555,8.813906800000002,7.308698700000001,6.6131573,9.380103199999999,7.0005216
2.3354586,1.9299475,1.9541787,2.3951453999999996,2.129568,1.9724258000000001
1.6719749,1.5487049,1.7381282,1.7277396,1.5609781999999999,1.726375
1.782142,1.3108396,1.3687868,1.7707366999999998,1.2936305000000001,1.3806796000000001
0.66874191,0.64726335,0.6423044,0.64887265,0.69107257,0.66767106
