targetX,cueOri,congr,corrAns,pin_cue,pin_target,block.thisRepN,block.thisTrialN,block.thisN,block.thisIndex,posner_task.thisRepN,posner_task.thisTrialN,posner_task.thisN,posner_task.thisIndex,port_start_block.started,port_start_block.stopped,text_2.started,text_2.stopped,p_port.started,p_port.stopped,text.started,text.stopped,fixation_1.started,fixation_1.stopped,fixation_2.started,fixation_2.stopped,cue.started,cue.stopped,target.started,target.stopped,correct_key_resp.keys,correct_key_resp.corr,correct_key_resp.started,correct_key_resp.stopped,early_resp.keys,early_resp.started,early_resp.stopped,trigger_cue.started,trigger_cue.stopped,trigger_target.started,trigger_target.stopped,correct_key_resp.rt,early_resp.rt,break_text.started,break_text.stopped,end_port.started,end_port.stopped,participant,session,date,expName,psychopyVersion,frameRate,
0.5,180,1,right,2,4,0,0,0,0,0,0,0,7,1.7800000023271423e-05,0.10141810000004625,27.400032499999725,None,1.4500000361294951e-05,0.09959739999976591,29.286001999999826,None,29.58900040000026,30.087144099999932,30.804624700000204,None,30.10357279999971,30.788128700000016,31.30516819999957,31.789545699999508,None,0,31.30516819999957,None,None,30.10357279999971,31.288537200000064,0.5078197000002547,0.5911518000002616,1.7091967000005752,1.7928292000005968,,,,,,,priya_2,001,2020_Feb_14_1220,posner,3.1.5,59.96027032480449,
0.5,180,1,right,2,4,0,0,0,0,0,1,1,5,,,,,,,,,32.07304860000022,32.57370059999994,33.29128729999957,None,32.590589600000385,33.274924600000304,33.79221510000025,None,right,1,33.79221510000025,None,None,32.590589600000385,33.77548360000037,0.5147471000000223,0.5984551000001375,1.7165177999995649,1.7999575999992885,0.43721220000043104,,,,,,priya_2,001,2020_Feb_14_1220,posner,3.1.5,59.96027032480449,
-0.5,0,1,left,1,3,0,0,0,0,0,2,2,2,,,,,,,,,34.259835799999564,34.76008829999955,35.47789780000039,None,34.7768659000003,35.46123220000027,35.97847920000004,None,left,1,35.97847920000004,None,None,34.7768659000003,35.96177819999957,0.5114710999996532,0.5949479000000792,1.7131517999996504,1.796514799999386,0.32303440000032424,,,,,,priya_2,001,2020_Feb_14_1220,posner,3.1.5,59.96027032480449,
-0.5,0,1,left,1,3,0,0,0,0,0,3,3,0,,,,,,,,,36.329833300000246,36.829816200000096,37.54729090000001,None,36.846282299999984,37.53051549999964,38.047851100000116,None,left,1,38.047851100000116,None,None,36.846282299999984,38.03151590000016,0.5116127999999662,0.594734199999948,1.7133011999994778,1.7966231999998854,0.4135846999997739,,,,,,priya_2,001,2020_Feb_14_1220,posner,3.1.5,59.96027032480449,
-0.5,0,1,left,1,3,0,0,0,0,0,4,4,1,,,,,,,,,38.48205010000038,38.9826522000003,39.700424399999974,None,38.9994772,39.6834686000002,40.20095760000004,None,left,1,40.20095760000004,None,None,38.9994772,40.18407139999999,0.5123935000001438,0.595755199999985,1.713784300000043,1.7974075000001903,0.3804780000000392,,,,,,priya_2,001,2020_Feb_14_1220,posner,3.1.5,59.96027032480449,
0.5,180,1,right,2,4,0,0,0,0,0,5,5,6,,,,,,,,,40.60221189999993,41.102138999999625,41.81994339999983,None,41.11879829999998,41.80304729999989,42.32045629999993,None,right,1,42.32045629999993,None,None,41.11879829999998,42.3038231999999,0.5114521999994395,0.5947868999992352,1.7131288999999015,1.7964138999996067,0.3490798000002542,,,,,,priya_2,001,2020_Feb_14_1220,posner,3.1.5,59.96027032480449,
-0.5,180,0,left,2,3,0,0,0,0,0,6,6,4,,,,,,,,,42.68852909999987,43.188226600000235,43.9061314999999,None,43.20493540000007,43.88947840000037,44.40659070000038,None,left,1,44.40659070000038,None,None,43.20493540000007,44.390285100000256,0.5112405999998373,0.5950659000000087,1.7132773000002999,1.7964648999995916,0.31886410000061005,,,,,,priya_2,001,2020_Feb_14_1220,posner,3.1.5,59.96027032480449,
0.5,0,0,right,1,4,0,0,0,0,0,7,7,3,,,,,,,,,44.757286199999726,45.2580183,45.975421899999674,None,45.27487209999981,45.95913139999993,46.476357599999574,None,right,1,46.476357599999574,None,None,45.27487209999981,46.4596418000001,0.5125069999994594,0.5958304999994652,1.714101099999425,1.7974715999998807,0.3530198999997083,,,,,,priya_2,001,2020_Feb_14_1220,posner,3.1.5,59.96027032480449,
0.5,180,1,right,2,4,0,0,0,0,1,0,8,5,,,,,,,,,46.86038279999957,47.36079710000013,48.07852019999973,None,47.37748879999981,48.06201489999967,48.579257000000325,None,right,1,48.579257000000325,None,None,47.37748879999981,48.56238370000028,0.5116347000002861,0.5949319999999716,1.713206899999932,1.7967097999999169,0.3861980000001495,,,,,,priya_2,001,2020_Feb_14_1220,posner,3.1.5,59.96027032480449,
-0.5,0,1,left,1,3,0,0,0,0,1,1,9,1,,,,,,,,,48.99684470000011,49.497271700000056,50.21448679999958,None,49.51357449999978,50.19811169999957,50.715355100000124,None,left,1,50.715355100000124,None,None,49.51357449999978,50.698664100000315,0.5117640999997093,0.5952798999996958,1.7131289999997534,1.7966559999995297,0.25810889999957,,,,,,priya_2,001,2020_Feb_14_1220,posner,3.1.5,59.96027032480449,
0.5,0,0,right,1,4,0,0,0,0,1,2,10,3,,,,,,,,,50.99969870000041,51.49996310000006,52.21747899999991,None,51.516610099999525,52.20080479999979,52.718251500000406,None,right,1,52.718251500000406,None,None,51.516610099999525,52.70174330000009,0.5118099000001166,0.5950480000001335,1.7135805999996592,1.796804699999484,0.32724710000002233,,,,,,priya_2,001,2020_Feb_14_1220,posner,3.1.5,59.96027032480449,
