targetX,cueOri,congr,corrAns,pin_cue,pin_target,block.thisRepN,block.thisTrialN,block.thisN,block.thisIndex,posner_task.thisRepN,posner_task.thisTrialN,posner_task.thisN,posner_task.thisIndex,port_start_block.started,port_start_block.stopped,text_2.started,text_2.stopped,p_port.started,p_port.stopped,text.started,text.stopped,fixation_1.started,fixation_1.stopped,fixation_2.started,fixation_2.stopped,cue.started,cue.stopped,target.started,target.stopped,correct_key_resp.keys,correct_key_resp.corr,correct_key_resp.rt,correct_key_resp.started,correct_key_resp.stopped,early_resp.keys,early_resp.started,early_resp.stopped,trigger_cue.started,trigger_cue.stopped,trigger_target.started,trigger_target.stopped,break_text.started,break_text.stopped,end_port.started,end_port.stopped,early_resp.rt,participant,session,date,expName,psychopyVersion,frameRate,
-0.5,180,0,left,2,3,0,0,0,0,0,0,0,4,1.8700000509852543e-05,0.10271640000064508,21.93222810000043,None,1.5300000086426735e-05,0.09968990000015765,23.81793309999921,None,24.16091100000085,24.66918799999985,25.37016009999934,None,24.66918799999985,25.37016009999934,25.87070069999936,None,left,1,0.45291069999984757,25.87070069999936,None,None,24.66918799999985,25.87070069999936,0.500793999999587,0.6009651999993366,1.7025708000001032,1.8024430999994365,,,,,,oren_1,001,2020_Jan_29_1313,posner,3.1.5,59.90409354601868,
0.5,180,1,right,2,4,0,0,0,0,0,1,1,6,,,,,,,,,26.356276099999377,26.855657899999642,27.573134199999913,None,26.87221259999933,27.556593400000565,28.074027099999512,None,right,1,0.2656788000003871,28.074027099999512,None,None,26.87221259999933,28.057315500000186,0.5105947000010929,0.5939457999993465,1.7122400999996898,1.795607199999722,,,,,,oren_1,001,2020_Jan_29_1313,posner,3.1.5,59.90409354601868,
0.5,180,1,right,2,4,0,0,0,0,0,2,2,7,,,,,,,,,28.358463500000653,28.85843709999972,29.575956000000588,None,28.874977800000124,29.55928649999987,30.076662400000714,None,right,1,0.326958999999988,30.076662400000714,None,None,28.874977800000124,30.059989999999743,0.5116218000002846,0.5948435999998765,1.7131629000014073,1.7967306000009557,,,,,,oren_1,001,2020_Jan_29_1313,posner,3.1.5,59.90409354601868,
0.5,0,0,right,1,4,0,0,0,0,0,3,3,3,,,,,,,,,30.427741999999853,30.92780800000037,31.64557319999949,None,30.944589099999575,31.6288741999997,32.146265100000164,None,right,1,0.3212949999997363,32.146265100000164,None,None,30.944589099999575,32.12942309999926,0.5116268000001583,0.5950045000008686,1.7132220000003144,1.797073800000362,,,,,,oren_1,001,2020_Jan_29_1313,posner,3.1.5,59.90409354601868,
-0.5,0,1,left,1,3,0,0,0,0,0,4,4,0,,,,,,,,,32.49703520000003,32.997460200000205,33.715092899999945,None,33.01398960000006,33.698322899999766,34.21571310000036,None,left,1,0.23588849999941885,34.21571310000036,None,None,33.01398960000006,34.19892869999967,0.5117390999985219,0.5950769999999466,1.7131897999988723,1.7966907999998512,,,,,,oren_1,001,2020_Jan_29_1313,posner,3.1.5,59.90409354601868,
-0.5,0,1,left,1,3,0,0,0,0,0,5,5,2,,,,,,,,,34.48304839999946,34.98343890000069,35.70099719999962,None,34.99993419999919,35.68438839999908,36.20174699999916,None,left,1,0.34578569999939646,36.20174699999916,None,None,34.99993419999919,36.18504910000047,0.5117374000001291,0.5952293000009377,1.713332100000116,1.7968841000001703,,,,,,oren_1,001,2020_Jan_29_1313,posner,3.1.5,59.90409354601868,
0.5,180,1,right,2,4,0,0,0,0,0,6,6,5,,,,,,,,,36.569672899999205,37.069629100000384,37.78743729999951,None,37.0864332000001,37.77054780000071,38.28825669999969,None,right,1,0.2433947999998054,38.28825669999969,None,None,37.0864332000001,38.27127710000059,0.5116146999989724,0.5950518999998167,1.7132440999994287,1.796701799999937,,,,,,oren_1,001,2020_Jan_29_1313,posner,3.1.5,59.90409354601868,
-0.5,0,1,left,1,3,0,0,0,0,0,7,7,1,,,,,,,,,38.555648100000326,39.05566270000054,39.77347849999933,None,39.072430399999575,39.7567411,40.274089399999866,None,left,1,0.2574531999998726,40.274089399999866,None,None,39.072430399999575,40.25722940000014,0.511425099999542,0.5948232999999163,1.7129910999992717,1.7965260000000853,,,,,,oren_1,001,2020_Jan_29_1313,posner,3.1.5,59.90409354601868,
0.5,180,1,right,2,4,0,0,0,0,1,0,8,6,,,,,,,,,40.55856660000063,41.058371299999635,41.77616950000083,None,41.07528099999945,41.75941099999909,42.276898000000074,None,right,1,0.30274260000078357,42.276898000000074,None,None,41.07528099999945,42.26008019999972,0.511526700000104,0.5951195000016014,1.7132149000008212,1.7966202000006888,,,,,,oren_1,001,2020_Jan_29_1313,posner,3.1.5,59.90409354601868,
0.5,0,0,right,1,4,0,0,0,0,1,1,9,3,,,,,,,,,42.61082139999962,43.11121819999971,43.82900250000057,None,43.12817039999936,43.81228569999985,44.32966490000035,None,right,1,0.314066200000525,44.32966490000035,None,None,43.12817039999936,44.31296610000027,0.5118500999997195,0.5953549999994721,1.7138531999989937,1.7969376999990345,,,,,,oren_1,001,2020_Jan_29_1313,posner,3.1.5,59.90409354601868,
-0.5,0,1,left,1,3,0,0,0,0,1,2,10,2,,,,,,,,,44.66450590000022,45.16420470000048,45.88185589999921,None,45.18088209999951,45.8651976000001,46.382719799999904,None,left,1,0.27688080000007176,46.382719799999904,None,None,45.18088209999951,46.365705700000035,0.5113392999992357,0.5948554999995395,1.7128319999992527,1.7963565999998536,,,,,,oren_1,001,2020_Jan_29_1313,posner,3.1.5,59.90409354601868,
-0.5,0,1,left,1,3,0,0,0,0,1,3,11,1,,,,,,,,,46.68377250000049,47.18377209999926,47.90115660000083,None,47.200191100000666,47.88462240000081,48.40186100000028,None,left,1,0.33778220000021975,48.40186100000028,None,None,47.200191100000666,48.385241800000585,0.5117597000007663,0.594943100000819,1.7132213000004413,1.7967891999996937,,,,,,oren_1,001,2020_Jan_29_1313,posner,3.1.5,59.90409354601868,
0.5,180,1,right,2,4,0,0,0,0,1,4,12,5,,,,,,,,,48.769863699999405,49.26972260000002,49.98758810000072,None,49.28655880000042,49.9708327999997,50.48821649999991,None,right,1,0.2514632000002166,50.48821649999991,None,None,49.28655880000042,50.47148779999952,0.5113903000001301,0.5948341000002983,1.7131403999992472,1.7967001999986678,,,,,,oren_1,001,2020_Jan_29_1313,posner,3.1.5,59.90409354601868,
0.5,180,1,right,2,4,0,0,0,0,1,5,13,7,,,,,,,,,50.75578999999925,51.255803599999126,51.973672899999656,None,51.27281439999933,51.95678650000082,52.474297799999476,None,right,1,0.28142230000048585,52.474297799999476,None,None,51.27281439999933,52.45765439999923,0.5114450000000943,0.595039199999519,1.7132803999993484,1.7966075000003912,,,,,,oren_1,001,2020_Jan_29_1313,posner,3.1.5,59.90409354601868,
-0.5,0,1,left,1,3,0,0,0,0,1,6,14,0,,,,,,,,,52.775570300000254,53.27530689999912,53.99301639999976,None,53.292003299999124,53.97649140000067,None,None,left,1,1.7033114000005298,None,None,None,53.292003299999124,54.47708310000053,0.5112549999994371,0.594850100000258,1.7130106999993586,None,,,,,,oren_1,001,2020_Jan_29_1313,posner,3.1.5,59.90409354601868,
-0.5,180,0,left,2,3,0,0,0,0,1,7,15,4,,,,,,,,,54.494290900000124,54.99442850000014,55.711929499999314,None,55.01104789999954,55.695335700000214,56.21292390000053,None,left,1,0.31876760000159265,56.21292390000053,None,None,55.01104789999954,56.19620770000074,0.5110729999996693,0.5944505999996181,1.7128372999995918,1.7961606999997457,,,,,,oren_1,001,2020_Jan_29_1313,posner,3.1.5,59.90409354601868,
0.5,180,1,right,2,4,0,0,0,0,2,0,16,6,,,,,,,,,56.54713459999948,57.04721939999945,57.7650522999993,None,57.06382219999978,57.748230900000635,58.26548179999918,None,right,1,0.2503353000010975,58.26548179999918,None,None,57.06382219999978,58.24894289999975,0.5116182000001572,0.5949086000000534,1.7133216999991419,1.7968194999994012,,,,,,oren_1,001,2020_Jan_29_1313,posner,3.1.5,59.90409354601868,
