   5.8200926e+00	   5.2375892e+00	   6.1092660e+00	
   9.4082514e-01	   8.0517213e-01	   9.1123351e-01	
   1.5211640e+00	   1.3937481e+00	   1.3030094e+00	
   3.4260616e+00	   2.9295169e+00	   2.7526159e+00	
   1.3843696e+00	   1.5962547e+00	   8.2986453e-01	
   4.3125364e+00	   3.6770922e+00	   3.9668371e+00	
   6.3906555e+00	   8.8139068e+00	   7.3086987e+00	
   2.3354586e+00	   1.9299475e+00	   1.9541787e+00	
   1.6719749e+00	   1.5487049e+00	   1.7381282e+00	
   1.7821420e+00	   1.3108396e+00	   1.3687868e+00	
   6.6874191e-01	   6.4726335e-01	   6.4230440e-01	
   6.5764803e+00	   5.7273032e+00	   6.2046170e+00	
   9.2270318e-01	   9.7307330e-01	   9.2764128e-01	
   1.4681231e+00	   1.4027454e+00	   1.4025773e+00	
   3.3226443e+00	   2.8920421e+00	   2.8376189e+00	
   1.3938718e+00	   1.5279858e+00	   8.4649942e-01	
   4.3490833e+00	   3.5607365e+00	   3.8174505e+00	
   6.6131573e+00	   9.3801032e+00	   7.0005216e+00	
   2.3951454e+00	   2.1295680e+00	   1.9724258e+00	
   1.7277396e+00	   1.5609782e+00	   1.7263750e+00	
   1.7707367e+00	   1.2936305e+00	   1.3806796e+00	
   6.4887265e-01	   6.9107257e-01	   6.6767106e-01	
